"Position","Const","Created","Modified","Description","Title","URL","Title.Type","IMDb.Rating","Runtime..mins.","Year","Genres","Num.Votes","Release.Date","Directors"
48,"tt14035242","2021-09-17","2021-09-17",NA,"Una película de policías","https://www.imdb.com/title/tt14035242/","movie",7,107,2021,"Documentary, Action, Crime, Drama, Thriller",1984,"2021-06-12","Alonso Ruizpalacios"
49,"tt0057012","2021-09-17","2021-09-17",NA,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","https://www.imdb.com/title/tt0057012/","movie",8.4,95,1964,"Comedy, War",495909,"1964-01-29","Stanley Kubrick"
50,"tt0082340","2021-09-18","2021-09-18",NA,"Escape from New York","https://www.imdb.com/title/tt0082340/","movie",7.1,99,1981,"Action, Adventure, Sci-Fi",146978,"1981-04-01","John Carpenter"
51,"tt0086525","2021-09-19","2021-09-19",NA,"Valley Girl","https://www.imdb.com/title/tt0086525/","movie",6.4,99,1983,"Comedy, Romance",16513,"1983-04-22","Martha Coolidge"
52,"tt0084787","2021-09-21","2021-09-21",NA,"The Thing","https://www.imdb.com/title/tt0084787/","movie",8.2,109,1982,"Horror, Mystery, Sci-Fi",432424,"1982-06-25","John Carpenter"
53,"tt0053472","2021-10-01","2021-10-01",NA,"À bout de souffle","https://www.imdb.com/title/tt0053472/","movie",7.7,90,1960,"Crime, Drama",83787,"1960-03-16","Jean-Luc Godard"
54,"tt9812474","2021-10-10","2021-10-10",NA,"Dýrið","https://www.imdb.com/title/tt9812474/","movie",6.3,106,2021,"Drama, Fantasy, Horror",30788,"2021-07-13","Valdimar Jóhannsson"
55,"tt9881630","2021-10-10","2021-10-10",NA,"Nahuel y el Libro Mágico","https://www.imdb.com/title/tt9881630/","movie",6.5,98,2020,"Animation, Adventure, Family, Fantasy",244,"2020-06-15","German Acuña"
56,"tt10944760","2021-10-11","2021-10-11",NA,"Titane","https://www.imdb.com/title/tt10944760/","movie",6.6,108,2021,"Drama, Horror, Sci-Fi, Thriller",48475,"2021-07-13","Julia Ducournau"
57,"tt0042643","2021-10-15","2021-10-15",NA,"The Killer That Stalked New York","https://www.imdb.com/title/tt0042643/","movie",6.4,79,1950,"Drama, Film-Noir, Thriller",1656,"1950-10-06","Earl McEvoy"
58,"tt0040366","2021-10-15","2021-10-15",NA,"Force of Evil","https://www.imdb.com/title/tt0040366/","movie",7.2,79,1948,"Crime, Drama, Film-Noir",7185,"1948-12-25","Abraham Polonsky"
59,"tt0039482","2021-10-15","2021-10-15",NA,"I Walk Alone","https://www.imdb.com/title/tt0039482/","movie",7,97,1947,"Crime, Drama, Film-Noir",3031,"1947-12-31","Byron Haskin"
60,"tt0037829","2021-10-16","2021-10-16",NA,"Jealousy","https://www.imdb.com/title/tt0037829/","movie",6.2,71,1945,"Film-Noir, Mystery",219,"1945-07-23","Gustav Machatý"
61,"tt0042953","2021-10-16","2021-10-16",NA,"Shakedown","https://www.imdb.com/title/tt0042953/","movie",7.1,80,1950,"Crime, Drama, Film-Noir, Music, Mystery, Romance, Thriller",523,"1950-09-01","Joseph Pevney"
62,"tt0034740","2021-10-16","2021-10-16",NA,"Fly-By-Night","https://www.imdb.com/title/tt0034740/","movie",6.5,74,1942,"Comedy, Drama, Film-Noir, Music, Mystery, Romance, Thriller",346,"1942-01-19","Robert Siodmak"
63,"tt0042206","2021-10-17","2021-10-17",NA,"Armored Car Robbery","https://www.imdb.com/title/tt0042206/","movie",6.9,67,1950,"Action, Adventure, Crime, Film-Noir, Thriller",2835,"1950-06-08","Richard Fleischer"
64,"tt0040934","2021-10-17","2021-10-17",NA,"The Velvet Touch","https://www.imdb.com/title/tt0040934/","movie",6.8,100,1948,"Crime, Drama, Film-Noir, Music, Mystery, Romance, Thriller",1210,"1948-07-13","Jack Gage"
65,"tt0038965","2021-10-17","2021-10-17",NA,"Somewhere in the Night","https://www.imdb.com/title/tt0038965/","movie",7.1,110,1946,"Crime, Drama, Film-Noir, Mystery, Romance",3211,"1946-05-19","Joseph L. Mankiewicz"
66,"tt0040740","2021-10-17","2021-10-17",NA,"Road House","https://www.imdb.com/title/tt0040740/","movie",7.2,95,1948,"Action, Drama, Film-Noir, Romance, Thriller",2894,"1948-11-04","Jean Negulesco"
67,"tt0040427","2021-10-17","2021-10-17",NA,"He Walked by Night","https://www.imdb.com/title/tt0040427/","movie",7.1,79,1948,"Crime, Film-Noir, Thriller",6266,"1948-11-24","Alfred L. Werker, Anthony Mann"
68,"tt7230750","2021-10-20","2021-10-20",NA,"The Velvet Underground","https://www.imdb.com/title/tt7230750/","movie",7.4,121,2021,"Documentary, Music",4567,"2021-07-07","Todd Haynes"
69,"tt0047263","2021-10-20","2021-10-20",NA,"Naked Alibi","https://www.imdb.com/title/tt0047263/","movie",6.5,86,1954,"Crime, Drama, Film-Noir, Thriller",1137,"1954-10-01","Jerry Hopper"
70,"tt0042530","2021-10-20","2021-10-20",NA,"Gun Crazy","https://www.imdb.com/title/tt0042530/","movie",7.6,87,1950,"Crime, Drama, Film-Noir, Romance, Thriller",13797,"1950-01-20","Joseph H. Lewis"
71,"tt0039335","2021-10-21","2021-10-21",NA,"A Double Life","https://www.imdb.com/title/tt0039335/","movie",7,104,1947,"Crime, Drama, Film-Noir",3616,"1947-12-25","George Cukor"
72,"tt0038057","2021-10-21","2021-10-21",NA,"Scarlet Street","https://www.imdb.com/title/tt0038057/","movie",7.8,102,1945,"Crime, Drama, Film-Noir, Thriller",17630,"1945-12-25","Fritz Lang"
73,"tt0038669","2021-10-22","2021-10-22",NA,"The Killers","https://www.imdb.com/title/tt0038669/","movie",7.7,103,1946,"Crime, Drama, Film-Noir, Mystery",22201,"1946-08-28","Robert Siodmak"
74,"tt0045631","2021-10-22","2021-10-22",NA,"City That Never Sleeps","https://www.imdb.com/title/tt0045631/","movie",6.7,90,1953,"Crime, Drama, Film-Noir, Thriller",1517,"1953-06-12","John H. Auer"
75,"tt0040823","2021-10-23","2021-10-23",NA,"Sorry, Wrong Number","https://www.imdb.com/title/tt0040823/","movie",7.3,89,1948,"Drama, Film-Noir, Mystery, Thriller",11671,"1948-09-01","Anatole Litvak"
76,"tt0038409","2021-10-23","2021-10-23",NA,"The Chase","https://www.imdb.com/title/tt0038409/","movie",6.5,86,1946,"Crime, Film-Noir, Romance, Thriller",2208,"1946-11-17","Arthur Ripley"
77,"tt0041922","2021-10-24","2021-10-24",NA,"The Story of Molly X","https://www.imdb.com/title/tt0041922/","movie",6.6,82,1949,"Crime, Drama, Film-Noir, Mystery",192,"1949-11-30","Crane Wilbur"
78,"tt0042960","2021-10-24","2021-10-24",NA,"Side Street","https://www.imdb.com/title/tt0042960/","movie",7.1,83,1950,"Crime, Drama, Film-Noir, Thriller",3144,"1950-03-23","Anthony Mann"
79,"tt0039463","2021-10-24","2021-10-24",NA,"High Tide","https://www.imdb.com/title/tt0039463/","movie",6.4,72,1947,"Crime, Drama, Film-Noir, Mystery",535,"1947-09-13","John Reinhardt"
80,"tt0043075","2021-10-24","2021-10-24",NA,"The Sound of Fury","https://www.imdb.com/title/tt0043075/","movie",7.2,91,1950,"Crime, Drama, Film-Noir, Thriller",1738,"1950-11-15","Cy Endfield"
81,"tt0047417","2021-10-24","2021-10-24",NA,"Riot in Cell Block 11","https://www.imdb.com/title/tt0047417/","movie",7,80,1954,"Crime, Drama, Film-Noir",2244,"1954-02-18","Don Siegel"
82,"tt0040607","2021-10-24","2021-10-24",NA,"Moonrise","https://www.imdb.com/title/tt0040607/","movie",7.1,90,1948,"Crime, Drama, Film-Noir, Romance, Thriller",2748,"1948-09-09","Frank Borzage"
83,"tt0039311","2021-10-24","2021-10-24",NA,"Desert Fury","https://www.imdb.com/title/tt0039311/","movie",6.5,96,1947,"Crime, Drama, Film-Noir, Romance, Thriller",1818,"1947-07-23","Lewis Allen"
84,"tt0042208","2021-10-24","2021-10-24",NA,"The Asphalt Jungle","https://www.imdb.com/title/tt0042208/","movie",7.8,112,1950,"Crime, Drama, Film-Noir, Thriller",28113,"1950-05-12","John Huston"
85,"tt8847712","2021-10-25","2021-10-25",NA,"The French Dispatch","https://www.imdb.com/title/tt8847712/","movie",7.1,107,2021,"Comedy, Drama, Romance",128164,"2021-07-12","Wes Anderson"
86,"tt0010323","2021-10-25","2021-10-25",NA,"Das Cabinet des Dr. Caligari","https://www.imdb.com/title/tt0010323/","movie",8,76,1920,"Horror, Mystery, Thriller",65769,"1920-02-26","Robert Wiene"
87,"tt0082010","2021-10-25","2021-10-25",NA,"An American Werewolf in London","https://www.imdb.com/title/tt0082010/","movie",7.5,97,1981,"Comedy, Horror",111359,"1981-08-21","John Landis"
88,"tt0017136","2021-10-25","2021-10-25",NA,"Metropolis","https://www.imdb.com/title/tt0017136/","movie",8.3,153,1927,"Drama, Sci-Fi",176602,"1927-01-10","Fritz Lang"
89,"tt0076786","2021-10-25","2021-10-25",NA,"Suspiria","https://www.imdb.com/title/tt0076786/","movie",7.3,99,1977,"Crime, Horror",96995,"1977-02-01","Dario Argento"
90,"tt0082933","2021-10-28","2021-10-28",NA,"Possession","https://www.imdb.com/title/tt0082933/","movie",7.3,124,1981,"Drama, Horror",35235,"1981-05-25","Andrzej Zulawski"
91,"tt0023649","2021-10-30","2021-10-30",NA,"Vampyr","https://www.imdb.com/title/tt0023649/","movie",7.4,75,1932,"Fantasy, Horror",19096,"1932-05-06","Carl Theodor Dreyer"
