"TheatreID","SessionID","ScreenTitle","ScreenTrailer","ScreenPoster","ScreenDate","ScreenTimestamp","ScreenTime","ScreenTicketLink","ScreenGenre","ScreenRuntime","ScreenTheatre"
"f-0100004128","37014","DIRTY HARRY","https://www.youtube.com/watch?v=0wN-KnYUaOc","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100004128?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Friday, September 08, 2023","2023-09-11T14:00:00","02:00 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=37014&visLang=1","Crime thriller","102 Minutes","AFI - AFI Silver 1"
"f-0100004128","37015","DIRTY HARRY","https://www.youtube.com/watch?v=0wN-KnYUaOc","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100004128?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Friday, September 08, 2023","2023-09-12T16:45:00","04:45 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=37015&visLang=1","Crime thriller","102 Minutes","AFI - AFI Silver 1"
"f-0100004128","37016","DIRTY HARRY","https://www.youtube.com/watch?v=0wN-KnYUaOc","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100004128?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Friday, September 08, 2023","2023-09-13T14:00:00","02:00 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=37016&visLang=1","Crime thriller","102 Minutes","AFI - AFI Silver 1"
"f-0100004166","37462","DOMINGO AND THE MIST","https://www.youtube.com/watch?v=0QR2d7ecy54","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100004166?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Saturday, September 23, 2023","2023-09-23T12:30:00","12:30 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=37462&visLang=1","Drama","86 Minutes","AFI - AFI Silver 2"
"f-0100004166","37464","DOMINGO AND THE MIST","https://www.youtube.com/watch?v=0QR2d7ecy54","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100004166?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Saturday, September 23, 2023","2023-09-25T21:15:00","09:15 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=37464&visLang=1","Drama","86 Minutes","AFI - AFI Silver 1"
"f-0100004162","37474","ELIS & TOM","https://www.youtube.com/watch?v=XL7ppdN4eFc","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100004162?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Sunday, September 24, 2023","2023-09-24T14:30:00","02:30 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=37474&visLang=1","Documentary - music","100 Minutes","AFI - AFI Silver 1"
"f-0100004162","37475","ELIS & TOM","https://www.youtube.com/watch?v=XL7ppdN4eFc","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100004162?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Sunday, September 24, 2023","2023-09-25T16:45:00","04:45 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=37475&visLang=1","Documentary - music","100 Minutes","AFI - AFI Silver 1"
"f-0100004162","37476","ELIS & TOM","https://www.youtube.com/watch?v=XL7ppdN4eFc","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100004162?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Sunday, September 24, 2023","2023-09-27T19:00:00","07:00 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=37476&visLang=1","Documentary - music","100 Minutes","AFI - AFI Silver 1"
"f-0100004090","36622","ENTER THE DRAGON","https://www.youtube.com/watch?v=_NKUZjfTESM","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100004090?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Friday, September 08, 2023","2023-09-08T12:00:00","12:00 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=36622&visLang=1","Action","99 Minutes","AFI - AFI Silver 1"
"f-0100004090","36623","ENTER THE DRAGON","https://www.youtube.com/watch?v=_NKUZjfTESM","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100004090?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Friday, September 08, 2023","2023-09-09T13:45:00","01:45 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=36623&visLang=1","Action","99 Minutes","AFI - AFI Silver 1"
