CeremonyID,AwardCategory,AwardWinner,Film,FilmID,Person,PersonID,AwardType
049-1976,Best Actor in a Leading Role,NA,Seven Beauties,tt0075040,Giancarlo Giannini,nm0316284,Performance
049-1976,Best Actor in a Leading Role,NA,Taxi Driver,tt0075314,Robert De Niro,nm0000134,Performance
049-1976,Best Actress in a Supporting Role,Winner,Network,tt0074958,Beatrice Straight,nm0833152,Performance
049-1976,Best Actress in a Supporting Role,NA,All the President's Men,tt0074119,Jane Alexander,nm0000737,Performance
049-1976,Best Actress in a Supporting Role,NA,Carrie,tt0074285,Piper Laurie,nm0001453,Performance
049-1976,Best Actress in a Supporting Role,NA,Taxi Driver,tt0075314,Jodie Foster,nm0000149,Performance
049-1976,Best Actress in a Supporting Role,NA,Voyage of the Damned,tt0075406,Lee Grant,nm0335519,Performance
049-1976,Best Actor in a Supporting Role,Winner,All the President's Men,tt0074119,Jason Robards,nm0001673,Performance
049-1976,Best Actor in a Supporting Role,NA,Marathon Man,tt0074860,Laurence Olivier,nm0000059,Performance
049-1976,Best Actor in a Supporting Role,NA,Network,tt0074958,Ned Beatty,nm0000885,Performance
049-1976,Best Actor in a Supporting Role,NA,Rocky,tt0075148,Burgess Meredith,nm0580565,Performance
049-1976,Best Actor in a Supporting Role,NA,Rocky,tt0075148,Burt Young,nm0949350,Performance
049-1976,Best Cinematography,Winner,Bound for Glory,tt0074235,Haskell Wexler,nm0005549,Visual Style
049-1976,Best Cinematography,NA,A Star Is Born,tt0075265,Robert Surtees,nm0005892,Visual Style
049-1976,Best Cinematography,NA,King Kong,tt0074751,Richard H. Kline,nm0459660,Visual Style
049-1976,Best Cinematography,NA,Logan's Run,tt0074812,Ernest Laszlo,nm0005768,Visual Style
049-1976,Best Cinematography,NA,Network,tt0074958,Owen Roizman,nm0005845,Visual Style
049-1976,Best Art Direction-Set Decoration,Winner,All the President's Men,tt0074119,George Gaines,nm0301321,Visual Style
049-1976,Best Art Direction-Set Decoration,Winner,All the President's Men,tt0074119,George Jenkins,nm0420846,Visual Style
049-1976,Best Art Direction-Set Decoration,NA,Logan's Run,tt0074812,Dale Hennesy,nm0377322,Visual Style
049-1976,Best Art Direction-Set Decoration,NA,Logan's Run,tt0074812,Robert De Vestel,nm0212113,Visual Style
049-1976,Best Art Direction-Set Decoration,NA,The Incredible Sarah,tt0074678,Elliot Scott,nm0779089,Visual Style
049-1976,Best Art Direction-Set Decoration,NA,The Incredible Sarah,tt0074678,Norman Reynolds,nm0721888,Visual Style
049-1976,Best Art Direction-Set Decoration,NA,The Last Tycoon,tt0074777,Gene Callahan,nm0130194,Visual Style
049-1976,Best Art Direction-Set Decoration,NA,The Last Tycoon,tt0074777,Jack T. Collis,nm0172795,Visual Style
049-1976,Best Art Direction-Set Decoration,NA,The Last Tycoon,tt0074777,Jerry Wunderlich,nm0943332,Visual Style
049-1976,Best Art Direction-Set Decoration,NA,The Shootist,tt0075213,Arthur Jeph Parker,nm0662057,Visual Style
049-1976,Best Art Direction-Set Decoration,NA,The Shootist,tt0075213,Robert F. Boyle,nm0102327,Visual Style
049-1976,Best Costume Design,Winner,Casanova,tt0074291,Danilo Donati,nm0232219,Visual Style
049-1976,Best Costume Design,NA,Bound for Glory,tt0074235,William Ware Theiss,nm0857377,Visual Style
049-1976,Best Costume Design,NA,The Incredible Sarah,tt0074678,Anthony Mendleson,nm0579162,Visual Style
049-1976,Best Costume Design,NA,The Passover Plot,tt0075043,Mary Wills,nm0932683,Visual Style
049-1976,Best Costume Design,NA,The Seven-Per-Cent Solution,tt0075194,Alan Barrett,nm0057049,Visual Style
049-1976,"Best Music, Original Score",Winner,The Omen,tt0075005,Jerry Goldsmith,nm0000025,Music
049-1976,"Best Music, Original Score",NA,Obsession,tt0074991,Bernard Herrmann,nm0002136,Music
049-1976,"Best Music, Original Score",NA,Taxi Driver,tt0075314,Bernard Herrmann,nm0002136,Music
049-1976,"Best Music, Original Score",NA,The Outlaw Josey Wales,tt0075029,Jerry Fielding,nm0006076,Music
049-1976,"Best Music, Original Score",NA,Voyage of the Damned,tt0075406,Lalo Schifrin,nm0006277,Music
049-1976,"Best Music, Original Song Score and Its Adaptation or Best Adaptation Score",Winner,Bound for Glory,tt0074235,Leonard Rosenman,nm0006260,Music
049-1976,"Best Music, Original Song Score and Its Adaptation or Best Adaptation Score",NA,A Star Is Born,tt0075265,Roger Kellaway,nm0445524,Music
049-1976,"Best Music, Original Song Score and Its Adaptation or Best Adaptation Score",NA,Bugsy Malone,tt0074256,Paul Williams,nm0931437,Music
049-1976,"Best Music, Original Song",Winner,A Star Is Born,tt0075265,Barbra Streisand,nm0000659,Music
049-1976,"Best Music, Original Song",Winner,A Star Is Born,tt0075265,Paul Williams,nm0931437,Music
049-1976,"Best Music, Original Song",NA,Half a House,tt0074601,Paul Francis Webster,nm0916990,Music
049-1976,"Best Music, Original Song",NA,Half a House,tt0074601,Sammy Fain,nm0006066,Music
049-1976,"Best Music, Original Song",NA,Rocky,tt0075148,Ayn Robbins,nm0730291,Music
049-1976,"Best Music, Original Song",NA,Rocky,tt0075148,Bill Conti,nm0006015,Music
049-1976,"Best Music, Original Song",NA,Rocky,tt0075148,Carol Connors,nm0175486,Music
049-1976,"Best Music, Original Song",NA,The Omen,tt0075005,Jerry Goldsmith,nm0000025,Music
049-1976,"Best Music, Original Song",NA,The Pink Panther Strikes Again,tt0075066,Don Black,nm0085246,Music
049-1976,"Best Music, Original Song",NA,The Pink Panther Strikes Again,tt0075066,Henry Mancini,nm0000049,Music
049-1976,Best Sound,Winner,All the President's Men,tt0074119,Arthur Piantadosi,nm0681250,Effects
049-1976,Best Sound,Winner,All the President's Men,tt0074119,James E. Webb,nm0916137,Effects
049-1976,Best Sound,Winner,All the President's Men,tt0074119,Les Fresholtz,nm0294370,Effects
049-1976,Best Sound,Winner,All the President's Men,tt0074119,Rick Alexander,nm1219804,Effects
049-1976,Best Sound,NA,A Star Is Born,tt0075265,Dan Wallin,nm0909163,Effects
049-1976,Best Sound,NA,A Star Is Born,tt0075265,Robert Glass,nm0321915,Effects
049-1976,Best Sound,NA,A Star Is Born,tt0075265,Robert Knudson,nm0461702,Effects
049-1976,Best Sound,NA,A Star Is Born,tt0075265,Tom Overton,nm0653966,Effects
049-1976,Best Sound,NA,King Kong,tt0074751,Aaron Rochin,nm0734099,Effects
049-1976,Best Sound,NA,King Kong,tt0074751,Harry W. Tetrick,nm0856555,Effects
049-1976,Best Sound,NA,King Kong,tt0074751,Jack Solomon,nm0813349,Effects
049-1976,Best Sound,NA,King Kong,tt0074751,William L. McCaughey,nm0565477,Effects
049-1976,Best Sound,NA,Rocky,tt0075148,Bud Alper,nm0022356,Effects
049-1976,Best Sound,NA,Rocky,tt0075148,Harry W. Tetrick,nm0856555,Effects
049-1976,Best Sound,NA,Rocky,tt0075148,Lyle J. Burbridge,nm0120769,Effects
049-1976,Best Sound,NA,Rocky,tt0075148,William L. McCaughey,nm0565477,Effects
049-1976,Best Sound,NA,Silver Streak,tt0075223,Donald O. Mitchell,nm0593290,Effects
049-1976,Best Sound,NA,Silver Streak,tt0075223,Douglas O. Williams,nm0930491,Effects
049-1976,Best Sound,NA,Silver Streak,tt0075223,Harold M. Etherington,nm0262065,Effects
049-1976,Best Sound,NA,Silver Streak,tt0075223,Richard Tyler,nm0878889,Effects
049-1976,Best Film Editing,Winner,Rocky,tt0075148,Richard Halsey,nm0357041,Effects
049-1976,Best Film Editing,Winner,Rocky,tt0075148,Scott Conrad,nm0175722,Effects
049-1976,Best Film Editing,NA,All the President's Men,tt0074119,Robert L. Wolfe,nm0938130,Effects
049-1976,Best Film Editing,NA,Bound for Glory,tt0074235,Pembroke J. Herring,nm0380670,Effects
049-1976,Best Film Editing,NA,Bound for Glory,tt0074235,Robert C. Jones,nm0002717,Effects
049-1976,Best Film Editing,NA,Network,tt0074958,Alan Heim,nm0374189,Effects
049-1976,Best Film Editing,NA,Two-Minute Warning,tt0075359,Eve Newman,nm0628085,Effects
049-1976,Best Film Editing,NA,Two-Minute Warning,tt0075359,Walter Hannemann,nm0360385,Effects
049-1976,"Best Short Film, Live Action",Winner,In the Region of Ice,tt0074675,Andre R. Guttfreund,nm0349722,Short
049-1976,"Best Short Film, Live Action",Winner,In the Region of Ice,tt0074675,Peter Werner,nm0921464,Short
049-1976,"Best Short Film, Live Action",NA,Kudzu,tt0074765,Marjie Short,nm0795083,Short
049-1976,"Best Short Film, Live Action",NA,Nightlife,tt0074966,Claire Wilbur,nm0928106,Short
049-1976,"Best Short Film, Live Action",NA,Nightlife,tt0074966,Robin Lehman,nm0499651,Short
049-1976,"Best Short Film, Live Action",NA,Number One,tt0074986,Dyan Cannon,nm0001007,Short
049-1976,"Best Short Film, Live Action",NA,Number One,tt0074986,Vince Cannon,nm0134278,Short
049-1976,"Best Short Film, Live Action",NA,The Morning Spider,tt0074919,Claude Chagrin,nm0149613,Short
049-1976,"Best Short Film, Live Action",NA,The Morning Spider,tt0074919,Julian Chagrin,nm0149615,Short
049-1976,"Best Short Film, Animated",Winner,Leisure,tt0074787,Suzanne Baker,nm0048952,Short
049-1976,"Best Short Film, Animated",NA,Dedalo,tt0074386,Manfredo Manfredi,nm0542061,Short
049-1976,"Best Short Film, Animated",NA,The Street,tt0075273,Caroline Leaf,nm0494937,Short
049-1976,"Best Short Film, Animated",NA,The Street,tt0075273,Guy Glover,nm0323123,Short
049-1976,"Best Documentary, Short Subjects",Winner,Number Our Days,tt0074987,Lynne Littman,nm0003313,Short
049-1976,"Best Documentary, Short Subjects",NA,American Shoeshine,tt0074134,Sparky Greene,nm0338928,Short
049-1976,"Best Documentary, Short Subjects",NA,Blackwood,tt0074215,Andy Thomson,nm0859851,Short
049-1976,"Best Documentary, Short Subjects",NA,Blackwood,tt0074215,Tony Ianzelo,nm0406349,Short
049-1976,"Best Documentary, Short Subjects",NA,The End of the Road,tt0074482,John Armstrong,nm0035761,Short
049-1976,"Best Documentary, Short Subjects",NA,Universe,tt0075373,Lester Novros,nm0637279,Short
050-1977,Best Picture,Winner,Annie Hall,tt0075686,Charles H. Joffe,nm0423618,Picture
050-1977,Best Picture,NA,Julia,tt0076245,Richard N. Roth,nm10607011,Picture
050-1977,Best Picture,NA,Star Wars: Episode IV - A New Hope,tt0076759,Gary Kurtz,nm0476030,Picture
050-1977,Best Picture,NA,The Goodbye Girl,tt0076095,Ray Stark,nm0823256,Picture
050-1977,Best Picture,NA,The Turning Point,tt0076843,Arthur Laurents,nm0491306,Picture
050-1977,Best Picture,NA,The Turning Point,tt0076843,Herbert Ross,nm0006889,Picture
050-1977,Best Foreign Language Film,Winner,Madame Rosa,tt0076348,NA,NA,International
050-1977,Best Foreign Language Film,NA,A Special Day,tt0076085,NA,NA,International
050-1977,Best Foreign Language Film,NA,Iphigenia,tt0076208,NA,NA,International
050-1977,Best Foreign Language Film,NA,Operation Thunderbolt,tt0076398,NA,NA,International
050-1977,Best Foreign Language Film,NA,That Obscure Object of Desire,tt0075824,NA,NA,International
050-1977,"Best Documentary, Features",Winner,Who Are the DeBolts? and Where Did They Get Nineteen Kids?,tt0076918,Dan McCann,nm0564848,Documentary
050-1977,"Best Documentary, Features",Winner,Who Are the DeBolts? and Where Did They Get Nineteen Kids?,tt0076918,John Korty,nm0466793,Documentary
050-1977,"Best Documentary, Features",Winner,Who Are the DeBolts? and Where Did They Get Nineteen Kids?,tt0076918,Warren Lockhart,nm0516901,Documentary
050-1977,"Best Documentary, Features",NA,High Grass Circus,tt0076142,Bill Brind,nm0109464,Documentary
050-1977,"Best Documentary, Features",NA,High Grass Circus,tt0076142,Tony Ianzelo,nm0406349,Documentary
050-1977,"Best Documentary, Features",NA,High Grass Circus,tt0076142,Torben Schioler,nm0771899,Documentary
050-1977,"Best Documentary, Features",NA,Homage to Chagall: The Colours of Love,tt0076151,Harry Rasky,nm0711268,Documentary
050-1977,"Best Documentary, Features",NA,The Children of Theatre Street,tt0075839,Earle Mack,nm0532973,Documentary
050-1977,"Best Documentary, Features",NA,The Children of Theatre Street,tt0075839,Robert Dornhelm,nm0233920,Documentary
050-1977,"Best Documentary, Features",NA,Union Maids,tt0075372,Jim Klein,nm0458822,Documentary
050-1977,"Best Documentary, Features",NA,Union Maids,tt0075372,Julia Reichert,nm0717064,Documentary
050-1977,"Best Documentary, Features",NA,Union Maids,tt0075372,Miles Mogulescu,nm0595801,Documentary
050-1977,Best Director,Winner,Annie Hall,tt0075686,Woody Allen,nm0000095,Director
050-1977,Best Director,NA,Close Encounters of the Third Kind,tt0075860,Steven Spielberg,nm0000229,Director
050-1977,Best Director,NA,Julia,tt0076245,Fred Zinnemann,nm0003593,Director
050-1977,Best Director,NA,Star Wars: Episode IV - A New Hope,tt0076759,George Lucas,nm0000184,Director
050-1977,Best Director,NA,The Turning Point,tt0076843,Herbert Ross,nm0006889,Director
050-1977,"Best Writing, Screenplay Written Directly for the Screen",Winner,Annie Hall,tt0075686,Marshall Brickman,nm0108613,Writing
050-1977,"Best Writing, Screenplay Written Directly for the Screen",Winner,Annie Hall,tt0075686,Woody Allen,nm0000095,Writing
050-1977,"Best Writing, Screenplay Written Directly for the Screen",NA,Star Wars: Episode IV - A New Hope,tt0076759,George Lucas,nm0000184,Writing
050-1977,"Best Writing, Screenplay Written Directly for the Screen",NA,The Goodbye Girl,tt0076095,Neil Simon,nm0800319,Writing
050-1977,"Best Writing, Screenplay Written Directly for the Screen",NA,The Late Show,tt0076301,Robert Benton,nm0000914,Writing
050-1977,"Best Writing, Screenplay Written Directly for the Screen",NA,The Turning Point,tt0076843,Arthur Laurents,nm0491306,Writing
050-1977,"Best Writing, Screenplay Based on Material from Another Medium",Winner,Julia,tt0076245,Alvin Sargent,nm0765091,Writing
050-1977,"Best Writing, Screenplay Based on Material from Another Medium",NA,Equus,tt0075995,Peter Shaffer,nm0787323,Writing
050-1977,"Best Writing, Screenplay Based on Material from Another Medium",NA,I Never Promised You a Rose Garden,tt0076172,Gavin Lambert,nm0483149,Writing
050-1977,"Best Writing, Screenplay Based on Material from Another Medium",NA,I Never Promised You a Rose Garden,tt0076172,Lewis John Carlino,nm0137573,Writing
050-1977,"Best Writing, Screenplay Based on Material from Another Medium",NA,"Oh, God!",tt0076489,Larry Gelbart,nm0312205,Writing
050-1977,"Best Writing, Screenplay Based on Material from Another Medium",NA,That Obscure Object of Desire,tt0075824,Jean-Claude Carrière,nm0140643,Writing
050-1977,"Best Writing, Screenplay Based on Material from Another Medium",NA,That Obscure Object of Desire,tt0075824,Luis Buñuel,nm0000320,Writing
050-1977,Best Actress in a Leading Role,Winner,Annie Hall,tt0075686,Diane Keaton,nm0000473,Performance
050-1977,Best Actress in a Leading Role,NA,Julia,tt0076245,Jane Fonda,nm0000404,Performance
050-1977,Best Actress in a Leading Role,NA,The Goodbye Girl,tt0076095,Marsha Mason,nm0556850,Performance
050-1977,Best Actress in a Leading Role,NA,The Turning Point,tt0076843,Anne Bancroft,nm0000843,Performance
050-1977,Best Actress in a Leading Role,NA,The Turning Point,tt0076843,Shirley MacLaine,nm0000511,Performance
050-1977,Best Actor in a Leading Role,Winner,The Goodbye Girl,tt0076095,Richard Dreyfuss,nm0000377,Performance
050-1977,Best Actor in a Leading Role,NA,A Special Day,tt0076085,Marcello Mastroianni,nm0000052,Performance
050-1977,Best Actor in a Leading Role,NA,Annie Hall,tt0075686,Woody Allen,nm0000095,Performance
050-1977,Best Actor in a Leading Role,NA,Equus,tt0075995,Richard Burton,nm0000009,Performance
050-1977,Best Actor in a Leading Role,NA,Saturday Night Fever,tt0076666,John Travolta,nm0000237,Performance
050-1977,Best Actress in a Supporting Role,Winner,Julia,tt0076245,Vanessa Redgrave,nm0000603,Performance
050-1977,Best Actress in a Supporting Role,NA,Close Encounters of the Third Kind,tt0075860,Melinda Dillon,nm0227039,Performance
050-1977,Best Actress in a Supporting Role,NA,Looking for Mr. Goodbar,tt0076327,Tuesday Weld,nm0001839,Performance
050-1977,Best Actress in a Supporting Role,NA,The Goodbye Girl,tt0076095,Quinn Cummings,nm0191944,Performance
050-1977,Best Actress in a Supporting Role,NA,The Turning Point,tt0076843,Leslie Browne,nm0115038,Performance
050-1977,Best Actor in a Supporting Role,Winner,Julia,tt0076245,Jason Robards,nm0001673,Performance
050-1977,Best Actor in a Supporting Role,NA,Equus,tt0075995,Peter Firth,nm0278752,Performance
050-1977,Best Actor in a Supporting Role,NA,Julia,tt0076245,Maximilian Schell,nm0001703,Performance
050-1977,Best Actor in a Supporting Role,NA,Star Wars: Episode IV - A New Hope,tt0076759,Alec Guinness,nm0000027,Performance
050-1977,Best Actor in a Supporting Role,NA,The Turning Point,tt0076843,Mikhail Baryshnikov,nm0000864,Performance
050-1977,Best Cinematography,Winner,Close Encounters of the Third Kind,tt0075860,Vilmos Zsigmond,nm0005936,Visual Style
050-1977,Best Cinematography,NA,Islands in the Stream,tt0076211,Fred J. Koenekamp,nm0005758,Visual Style
050-1977,Best Cinematography,NA,Julia,tt0076245,Douglas Slocombe,nm0005878,Visual Style
050-1977,Best Cinematography,NA,Looking for Mr. Goodbar,tt0076327,William A. Fraker,nm0005710,Visual Style
050-1977,Best Cinematography,NA,The Turning Point,tt0076843,Robert Surtees,nm0005892,Visual Style
050-1977,Best Art Direction-Set Decoration,Winner,Star Wars: Episode IV - A New Hope,tt0076759,John Barry,nm0058045,Visual Style
050-1977,Best Art Direction-Set Decoration,Winner,Star Wars: Episode IV - A New Hope,tt0076759,Leslie Dilley,nm0226896,Visual Style
050-1977,Best Art Direction-Set Decoration,Winner,Star Wars: Episode IV - A New Hope,tt0076759,Norman Reynolds,nm0721888,Visual Style
050-1977,Best Art Direction-Set Decoration,Winner,Star Wars: Episode IV - A New Hope,tt0076759,Roger Christian,nm0002337,Visual Style
050-1977,Best Art Direction-Set Decoration,NA,Airport '77,tt0075648,George C. Webb,nm0916112,Visual Style
050-1977,Best Art Direction-Set Decoration,NA,Airport '77,tt0075648,Mickey S. Michaels,nm0584446,Visual Style
050-1977,Best Art Direction-Set Decoration,NA,Close Encounters of the Third Kind,tt0075860,Daniel A. Lomino,nm0518561,Visual Style
050-1977,Best Art Direction-Set Decoration,NA,Close Encounters of the Third Kind,tt0075860,Joe Alves,nm0023469,Visual Style
050-1977,Best Art Direction-Set Decoration,NA,Close Encounters of the Third Kind,tt0075860,Phil Abramson,nm0009055,Visual Style
050-1977,Best Art Direction-Set Decoration,NA,The Spy Who Loved Me,tt0076752,Hugh Scaife,nm0768728,Visual Style
050-1977,Best Art Direction-Set Decoration,NA,The Spy Who Loved Me,tt0076752,Ken Adam,nm0010553,Visual Style
050-1977,Best Art Direction-Set Decoration,NA,The Spy Who Loved Me,tt0076752,Peter Lamont,nm0483682,Visual Style
050-1977,Best Art Direction-Set Decoration,NA,The Turning Point,tt0076843,Albert Brenner,nm0107447,Visual Style
050-1977,Best Art Direction-Set Decoration,NA,The Turning Point,tt0076843,Marvin March,nm0545322,Visual Style
050-1977,Best Costume Design,Winner,Star Wars: Episode IV - A New Hope,tt0076759,John Mollo,nm0597087,Visual Style
050-1977,Best Costume Design,NA,A Little Night Music,tt0076319,Florence Klotz,nm0460108,Visual Style
050-1977,Best Costume Design,NA,Airport '77,tt0075648,Burton Miller,nm0588018,Visual Style
050-1977,Best Costume Design,NA,Airport '77,tt0075648,Edith Head,nm0372128,Visual Style
050-1977,Best Costume Design,NA,Julia,tt0076245,Anthea Sylbert,nm0843123,Visual Style
050-1977,Best Costume Design,NA,The Other Side of Midnight,tt0076507,Irene Sharaff,nm0788695,Visual Style
050-1977,"Best Music, Original Score",Winner,Star Wars: Episode IV - A New Hope,tt0076759,John Williams,nm0002354,Music
050-1977,"Best Music, Original Score",NA,Close Encounters of the Third Kind,tt0075860,John Williams,nm0002354,Music
050-1977,"Best Music, Original Score",NA,Julia,tt0076245,Georges Delerue,nm0000016,Music
050-1977,"Best Music, Original Score",NA,The Message,tt0074896,Maurice Jarre,nm0003574,Music
050-1977,"Best Music, Original Score",NA,The Spy Who Loved Me,tt0076752,Marvin Hamlisch,nm0006121,Music
050-1977,"Best Music, Original Song Score and Its Adaptation or Best Adaptation Score",Winner,A Little Night Music,tt0076319,Jonathan Tunick,nm0876642,Music
050-1977,"Best Music, Original Song Score and Its Adaptation or Best Adaptation Score",NA,Pete's Dragon,tt0076538,Al Kasha,nm0440517,Music
050-1977,"Best Music, Original Song Score and Its Adaptation or Best Adaptation Score",NA,Pete's Dragon,tt0076538,Irwin Kostal,nm0467348,Music
050-1977,"Best Music, Original Song Score and Its Adaptation or Best Adaptation Score",NA,Pete's Dragon,tt0076538,Joel Hirschhorn,nm0386610,Music
050-1977,"Best Music, Original Song Score and Its Adaptation or Best Adaptation Score",NA,The Slipper and the Rose: The Story of Cinderella,tt0075232,Angela Morley,nm0605859,Music
050-1977,"Best Music, Original Song Score and Its Adaptation or Best Adaptation Score",NA,The Slipper and the Rose: The Story of Cinderella,tt0075232,Richard M. Sherman,nm0792556,Music
050-1977,"Best Music, Original Song Score and Its Adaptation or Best Adaptation Score",NA,The Slipper and the Rose: The Story of Cinderella,tt0075232,Robert B. Sherman,nm0792567,Music
050-1977,"Best Music, Original Song",Winner,You Light Up My Life,tt0076941,Joseph Brooks,nm0112072,Music
050-1977,"Best Music, Original Song",NA,Pete's Dragon,tt0076538,Al Kasha,nm0440517,Music
050-1977,"Best Music, Original Song",NA,Pete's Dragon,tt0076538,Joel Hirschhorn,nm0386610,Music
050-1977,"Best Music, Original Song",NA,The Rescuers,tt0076618,Ayn Robbins,nm0730291,Music
050-1977,"Best Music, Original Song",NA,The Rescuers,tt0076618,Carol Connors,nm0175486,Music
050-1977,"Best Music, Original Song",NA,The Rescuers,tt0076618,Sammy Fain,nm0006066,Music
050-1977,"Best Music, Original Song",NA,The Slipper and the Rose: The Story of Cinderella,tt0075232,Richard M. Sherman,nm0792556,Music
050-1977,"Best Music, Original Song",NA,The Slipper and the Rose: The Story of Cinderella,tt0075232,Robert B. Sherman,nm0792567,Music
050-1977,"Best Music, Original Song",NA,The Spy Who Loved Me,tt0076752,Carole Bayer Sager,nm0004728,Music
050-1977,"Best Music, Original Song",NA,The Spy Who Loved Me,tt0076752,Marvin Hamlisch,nm0006121,Music
050-1977,Best Sound,Winner,Star Wars: Episode IV - A New Hope,tt0076759,Bob Minkler,nm0591440,Effects
050-1977,Best Sound,Winner,Star Wars: Episode IV - A New Hope,tt0076759,Derek Ball,nm0050362,Effects
050-1977,Best Sound,Winner,Star Wars: Episode IV - A New Hope,tt0076759,Don MacDougall,nm0532013,Effects
050-1977,Best Sound,Winner,Star Wars: Episode IV - A New Hope,tt0076759,Ray West,nm0922079,Effects
050-1977,Best Sound,NA,Close Encounters of the Third Kind,tt0075860,Don MacDougall,nm0532013,Effects
050-1977,Best Sound,NA,Close Encounters of the Third Kind,tt0075860,Gene S. Cantamessa,nm0134481,Effects
050-1977,Best Sound,NA,Close Encounters of the Third Kind,tt0075860,Robert Glass,nm0321915,Effects
050-1977,Best Sound,NA,Close Encounters of the Third Kind,tt0075860,Robert Knudson,nm0461702,Effects
050-1977,Best Sound,NA,Sorcerer,tt0076740,Jean-Louis Ducarme,nm0239707,Effects
050-1977,Best Sound,NA,Sorcerer,tt0076740,Richard Tyler,nm0878889,Effects
050-1977,Best Sound,NA,Sorcerer,tt0076740,Robert Glass,nm0321915,Effects
050-1977,Best Sound,NA,Sorcerer,tt0076740,Robert Knudson,nm0461702,Effects
050-1977,Best Sound,NA,The Deep,tt0075925,Rick Alexander,nm1219804,Effects
050-1977,Best Sound,NA,The Deep,tt0075925,Robin Gregory,nm0339932,Effects
050-1977,Best Sound,NA,The Deep,tt0075925,Tom Beckert,nm0065657,Effects
050-1977,Best Sound,NA,The Deep,tt0075925,Walter Goss,nm0331586,Effects
050-1977,Best Sound,NA,The Turning Point,tt0076843,Douglas O. Williams,nm0930491,Effects
050-1977,Best Sound,NA,The Turning Point,tt0076843,Jerry Jost,nm0422281,Effects
050-1977,Best Sound,NA,The Turning Point,tt0076843,Paul Wells,nm0920372,Effects
050-1977,Best Sound,NA,The Turning Point,tt0076843,Theodore Soderberg,nm0812029,Effects
050-1977,Best Film Editing,Winner,Star Wars: Episode IV - A New Hope,tt0076759,Marcia Lucas,nm0524235,Effects
050-1977,Best Film Editing,Winner,Star Wars: Episode IV - A New Hope,tt0076759,Paul Hirsch,nm0386532,Effects
050-1977,Best Film Editing,Winner,Star Wars: Episode IV - A New Hope,tt0076759,Richard Chew,nm0156816,Effects
050-1977,Best Film Editing,NA,Close Encounters of the Third Kind,tt0075860,Michael Kahn,nm0434883,Effects
050-1977,Best Film Editing,NA,Julia,tt0076245,Marcel Durham,nm0244091,Effects
050-1977,Best Film Editing,NA,Julia,tt0076245,Walter Murch,nm0004555,Effects
050-1977,Best Film Editing,NA,Smokey and the Bandit,tt0076729,Angelo Ross,nm0743207,Effects
050-1977,Best Film Editing,NA,Smokey and the Bandit,tt0076729,Walter Hannemann,nm0360385,Effects
050-1977,Best Film Editing,NA,The Turning Point,tt0076843,William Reynolds,nm0722000,Effects
050-1977,"Best Effects, Visual Effects",Winner,Star Wars: Episode IV - A New Hope,tt0076759,Grant McCune,nm0567263,Effects
050-1977,"Best Effects, Visual Effects",Winner,Star Wars: Episode IV - A New Hope,tt0076759,John Dykstra,nm0004375,Effects
050-1977,"Best Effects, Visual Effects",Winner,Star Wars: Episode IV - A New Hope,tt0076759,John Stears,nm0824210,Effects
050-1977,"Best Effects, Visual Effects",Winner,Star Wars: Episode IV - A New Hope,tt0076759,Richard Edlund,nm0249430,Effects
050-1977,"Best Effects, Visual Effects",Winner,Star Wars: Episode IV - A New Hope,tt0076759,Robert Blalack,nm0086879,Effects
050-1977,"Best Effects, Visual Effects",NA,Close Encounters of the Third Kind,tt0075860,Douglas Trumbull,nm0874320,Effects
050-1977,"Best Effects, Visual Effects",NA,Close Encounters of the Third Kind,tt0075860,Gregory Jein,nm0420474,Effects
050-1977,"Best Effects, Visual Effects",NA,Close Encounters of the Third Kind,tt0075860,Matthew Yuricich,nm0951046,Effects
050-1977,"Best Effects, Visual Effects",NA,Close Encounters of the Third Kind,tt0075860,Richard Yuricich,nm0951047,Effects
050-1977,"Best Effects, Visual Effects",NA,Close Encounters of the Third Kind,tt0075860,Roy Arbogast,nm0033405,Effects
050-1977,"Best Short Film, Live Action",Winner,I'll Find a Way,tt0076173,Beverly Shaffer,nm0787291,Short
050-1977,"Best Short Film, Live Action",Winner,I'll Find a Way,tt0076173,Yuki Yoshida,nm0948952,Short
050-1977,"Best Short Film, Live Action",NA,Floating Free,tt0076036,Jerry Butts,nm0125442,Short
050-1977,"Best Short Film, Live Action",NA,Notes on the Popular Arts,tt0076467,Saul Bass,nm0000866,Short
050-1977,"Best Short Film, Live Action",NA,Spaceborne,tt0076742,Philip Dauber,nm0202229,Short
050-1977,"Best Short Film, Live Action",NA,The Absent-Minded Waiter,tt0075626,William E. McEuen,nm0568530,Short
050-1977,"Best Short Film, Animated",Winner,The Sand Castle,tt0075847,Co Hoedeman,nm0388394,Short
050-1977,"Best Short Film, Animated",NA,A Doonesbury Special,tt0075953,Faith Hubley,nm0254454,Short
050-1977,"Best Short Film, Animated",NA,A Doonesbury Special,tt0075953,Garry Trudeau,nm0874034,Short
050-1977,"Best Short Film, Animated",NA,A Doonesbury Special,tt0075953,John Hubley,nm0399524,Short
050-1977,"Best Short Film, Animated",NA,Jimmy the C,tt0076230,Craig Whitaker,nm0924253,Short
050-1977,"Best Short Film, Animated",NA,Jimmy the C,tt0076230,Jimmy Picker,nm0681804,Short
050-1977,"Best Short Film, Animated",NA,Jimmy the C,tt0076230,Robert Grossman,nm0343705,Short
