CeremonyID,AwardCategory,AwardWinner,Film,FilmID,Person,PersonID,AwardType
081-2008,Best Achievement in Cinematography,NA,The Dark Knight,tt0468569,Wally Pfister,nm0002892,Visual Style
081-2008,Best Achievement in Cinematography,NA,The Reader,tt0976051,Chris Menges,nm0579580,Visual Style
081-2008,Best Achievement in Cinematography,NA,The Reader,tt0976051,Roger Deakins,nm0005683,Visual Style
081-2008,Best Achievement in Art Direction,Winner,The Curious Case of Benjamin Button,tt0421715,Donald Graham Burt,nm0123426,Visual Style
081-2008,Best Achievement in Art Direction,Winner,The Curious Case of Benjamin Button,tt0421715,Victor J. Zolfo,nm0957672,Visual Style
081-2008,Best Achievement in Art Direction,NA,Changeling,tt0824747,Gary Fettis,nm0275361,Visual Style
081-2008,Best Achievement in Art Direction,NA,Changeling,tt0824747,James J. Murakami,nm0613468,Visual Style
081-2008,Best Achievement in Art Direction,NA,Revolutionary Road,tt0959337,Debra Schutt,nm0776897,Visual Style
081-2008,Best Achievement in Art Direction,NA,Revolutionary Road,tt0959337,Kristi Zea,nm0954034,Visual Style
081-2008,Best Achievement in Art Direction,NA,The Dark Knight,tt0468569,Nathan Crowley,nm0189769,Visual Style
081-2008,Best Achievement in Art Direction,NA,The Dark Knight,tt0468569,Peter Lando,nm0484885,Visual Style
081-2008,Best Achievement in Art Direction,NA,The Duchess,tt0864761,Michael Carlin,nm0137528,Visual Style
081-2008,Best Achievement in Art Direction,NA,The Duchess,tt0864761,Rebecca Alleway,nm0021284,Visual Style
081-2008,Best Achievement in Costume Design,Winner,The Duchess,tt0864761,Michael O'Connor,nm0640445,Visual Style
081-2008,Best Achievement in Costume Design,NA,Australia,tt0455824,Catherine Martin,nm0552039,Visual Style
081-2008,Best Achievement in Costume Design,NA,Milk,tt1013753,Danny Glicker,nm0322786,Visual Style
081-2008,Best Achievement in Costume Design,NA,Revolutionary Road,tt0959337,Albert Wolsky,nm0938717,Visual Style
081-2008,Best Achievement in Costume Design,NA,The Curious Case of Benjamin Button,tt0421715,Jacqueline West,nm0922113,Visual Style
081-2008,Best Achievement in Makeup,Winner,The Curious Case of Benjamin Button,tt0421715,Greg Cannom,nm0134148,Visual Style
081-2008,Best Achievement in Makeup,NA,Hellboy II: The Golden Army,tt0411477,Mike Elizalde,nm0253761,Visual Style
081-2008,Best Achievement in Makeup,NA,Hellboy II: The Golden Army,tt0411477,Thomas Floutz,nm0283134,Visual Style
081-2008,Best Achievement in Makeup,NA,The Dark Knight,tt0468569,Conor O'Sullivan,nm0642745,Visual Style
081-2008,Best Achievement in Makeup,NA,The Dark Knight,tt0468569,John Caglione Jr.,nm0128550,Visual Style
081-2008,"Best Achievement in Music Written for Motion Pictures, Original Score",Winner,Slumdog Millionaire,tt1010048,A.R. Rahman,nm0006246,Music
081-2008,"Best Achievement in Music Written for Motion Pictures, Original Score",NA,Defiance,tt1034303,James Newton Howard,nm0006133,Music
081-2008,"Best Achievement in Music Written for Motion Pictures, Original Score",NA,Milk,tt1013753,Danny Elfman,nm0000384,Music
081-2008,"Best Achievement in Music Written for Motion Pictures, Original Score",NA,The Curious Case of Benjamin Button,tt0421715,Alexandre Desplat,nm0006035,Music
081-2008,"Best Achievement in Music Written for Motion Pictures, Original Score",NA,WALL·E,tt0910970,Thomas Newman,nm0002353,Music
081-2008,"Best Achievement in Music Written for Motion Pictures, Original Song",Winner,Slumdog Millionaire,tt1010048,A.R. Rahman,nm0006246,Music
081-2008,"Best Achievement in Music Written for Motion Pictures, Original Song",Winner,Slumdog Millionaire,tt1010048,Gulzar,nm0347899,Music
