Ceremony,Ceremony.Year,AwardCeremony,AwardCategory,Note,FilmID,FilmName,PersonID,PersonName,GeneralizedCategory
9,1937,009-1937,Best Acting,NA,tt0028944,The Good Earth,nm0707023,Luise Rainer,Performance
9,1937,009-1937,Best Acting,NA,tt0029146,The Life of Emile Zola,nm0771584,Joseph Schildkraut,Performance
9,1937,009-1937,Best Acting,NA,tt0027688,The Man of Stone,nm0062428,Harry Baur,Performance
9,1937,009-1937,Best Film,NA,tt0029310,Night Must Fall,NA,NA,Top Films
9,1937,009-1937,Best Foreign Language Film,NA,tt0027592,Die ewige Maske,NA,NA,International
9,1937,009-1937,Top Foreign Films,NA,tt0027509,Baltic Deputy,NA,NA,International
9,1937,009-1937,Top Foreign Films,NA,tt0025191,Behold the Man,NA,NA,International
9,1937,009-1937,Top Foreign Films,NA,tt0027592,Die ewige Maske,NA,NA,International
9,1937,009-1937,Top Foreign Films,NA,tt0028827,Elephant Boy,NA,NA,International
9,1937,009-1937,Top Foreign Films,NA,tt0151169,Jánosik,NA,NA,International
9,1937,009-1937,Top Foreign Films,NA,tt0027951,Mayerling,NA,NA,International
9,1937,009-1937,Top Foreign Films,NA,,Rembrandt again?,NA,NA,International
9,1937,009-1937,Top Foreign Films,NA,tt0027336,The Lower Depths,NA,NA,International
9,1937,009-1937,Top Foreign Films,NA,tt0029594,The Spanish Earth,NA,NA,International
9,1937,009-1937,Top Foreign Films,NA,tt0024203,The Wedding of Palo,NA,NA,International
9,1937,009-1937,Top Ten Films,NA,tt0029606,A Star Is Born,NA,NA,Top Films
9,1937,009-1937,Top Ten Films,NA,tt0027367,Black Legion,NA,NA,Top Films
9,1937,009-1937,Top Ten Films,NA,tt0028683,Camille,NA,NA,Top Films
9,1937,009-1937,Top Ten Films,NA,tt0028691,Captains Courageous,NA,NA,Top Films
9,1937,009-1937,Top Ten Films,NA,tt0029192,Make Way for Tomorrow,NA,NA,Top Films
9,1937,009-1937,Top Ten Films,NA,tt0029310,Night Must Fall,NA,NA,Top Films
9,1937,009-1937,Top Ten Films,NA,tt0029604,Stage Door,NA,NA,Top Films
9,1937,009-1937,Top Ten Films,NA,tt0028944,The Good Earth,NA,NA,Top Films
9,1937,009-1937,Top Ten Films,NA,tt0029146,The Life of Emile Zola,NA,NA,Top Films
9,1937,009-1937,Top Ten Films,NA,tt0029658,They Won't Forget,NA,NA,Top Films
10,1938,010-1938,Best Acting,NA,tt0029855,Algiers,nm0130407,Joseph Calleia,Performance
10,1938,010-1938,Best Acting,NA,tt0029870,Angels with Dirty Faces,nm0000010,James Cagney,Performance
10,1938,010-1938,Best Acting,NA,tt0029942,Boys Town,nm0000075,Spencer Tracy,Performance
10,1938,010-1938,Best Acting,NA,tt0029706,Christine,nm0062428,Harry Baur,Performance
10,1938,010-1938,Best Acting,NA,tt0029706,Christine,nm0431212,Louis Jouvet,Performance
10,1938,010-1938,Best Acting,NA,tt0029706,Christine,nm0087018,Pierre Blanchar,Performance
10,1938,010-1938,Best Acting,NA,tt0029706,Christine,nm0706926,Raimu,Performance
10,1938,010-1938,Best Acting,NA,tt0030149,Four Daughters,nm0002092,John Garfield,Performance
10,1938,010-1938,Best Acting,NA,tt0030241,Holiday,nm0000817,Lew Ayres,Performance
10,1938,010-1938,Best Acting,NA,tt0030418,Marie Antoinette,nm0605923,Robert Morley,Performance
10,1938,010-1938,Best Acting,NA,tt0030637,Pygmalion,nm0384908,Wendy Hiller,Performance
10,1938,010-1938,Best Acting,NA,tt0030774,South Riding,nm0724732,Ralph Richardson,Performance
10,1938,010-1938,Best Acting,NA,tt0229200,The Adventures of Chico,nm0157240,Chico,Performance
10,1938,010-1938,Best Acting,NA,tt0030933,The Beachcomber,nm0001452,Charles Laughton,Performance
10,1938,010-1938,Best Acting,NA,tt0030933,The Beachcomber,nm0006471,Elsa Lanchester,Performance
10,1938,010-1938,Best Acting,NA,tt0029995,The Citadel,nm0724732,Ralph Richardson,Performance
10,1938,010-1938,Best Acting,NA,tt0029995,The Citadel,nm0232196,Robert Donat,Performance
10,1938,010-1938,Best Acting,NA,tt0028950,The Grand Illusion,nm0663077,Dita Parlo,Performance
10,1938,010-1938,Best Acting,NA,tt0028950,The Grand Illusion,nm0002233,Erich von Stroheim,Performance
10,1938,010-1938,Best Acting,NA,tt0028950,The Grand Illusion,nm0300064,Jean Gabin,Performance
10,1938,010-1938,Best Acting,NA,tt0028950,The Grand Illusion,nm0294382,Pierre Fresnay,Performance
10,1938,010-1938,Best Acting,NA,tt0030865,Three Comrades,nm0837925,Margaret Sullavan,Performance
10,1938,010-1938,Best Acting,NA,tt0030546,To the Victor,nm0299484,Will Fyffe,Performance
10,1938,010-1938,Best Film,NA,tt0029995,The Citadel,NA,NA,Top Films
10,1938,010-1938,Best Foreign Language Film,NA,tt0028950,The Grand Illusion,NA,NA,International
10,1938,010-1938,Top Foreign Films,NA,tt0029706,Christine,NA,NA,International
10,1938,010-1938,Top Foreign Films,NA,tt0158645,La guerre des gosses,NA,NA,International
10,1938,010-1938,Top Foreign Films,NA,tt0143749,La mort du cygne,NA,NA,International
10,1938,010-1938,Top Foreign Films,NA,tt0029405,Peter the First,NA,NA,International
10,1938,010-1938,Top Foreign Films,NA,tt0028950,The Grand Illusion,NA,NA,International
10,1938,010-1938,Top Ten Films,NA,tt0030287,Jezebel,NA,NA,Top Films
10,1938,010-1938,Top Ten Films,NA,tt0030517,Of Human Hearts,NA,NA,Top Films
10,1938,010-1938,Top Ten Films,NA,tt0030752,"Sing, You Sinners",NA,NA,Top Films
10,1938,010-1938,Top Ten Films,NA,tt0029583,Snow White and the Seven Dwarfs,NA,NA,Top Films
10,1938,010-1938,Top Ten Films,NA,tt0030774,South Riding,NA,NA,Top Films
10,1938,010-1938,Top Ten Films,NA,tt0030933,The Beachcomber,NA,NA,Top Films
10,1938,010-1938,Top Ten Films,NA,tt0029995,The Citadel,NA,NA,Top Films
10,1938,010-1938,Top Ten Films,NA,tt0028818,The Edge of the World,NA,NA,Top Films
10,1938,010-1938,Top Ten Films,NA,tt0030865,Three Comrades,NA,NA,Top Films
10,1938,010-1938,Top Ten Films,NA,tt0030546,To the Victor,NA,NA,Top Films
11,1939,011-1939,Best Acting,NA,tt0031173,Confessions of a Nazi Spy,nm0496473,Francis Lederer,Performance
11,1939,011-1939,Best Acting,NA,tt0031173,Confessions of a Nazi Spy,nm0510134,Paul Lukas,Performance
11,1939,011-1939,Best Acting,NA,tt0031210,Dark Victory,nm0000012,Bette Davis,Performance
11,1939,011-1939,Best Acting,NA,tt0031210,Dark Victory,nm0280242,Geraldine Fitzgerald,Performance
11,1939,011-1939,Best Acting,NA,tt0031309,La fin du jour,nm0800302,Michel Simon,Performance
11,1939,011-1939,Best Acting,NA,tt0031725,Ninotchka,nm0001256,Greta Garbo,Performance
11,1939,011-1939,Best Acting,NA,tt0030643,Port of Shadows,nm0300064,Jean Gabin,Performance
11,1939,011-1939,Best Acting,NA,tt0030643,Port of Shadows,nm0800302,Michel Simon,Performance
11,1939,011-1939,Best Acting,NA,tt0031971,Stagecoach,nm0593775,Thomas Mitchell,Performance
11,1939,011-1939,Best Acting,NA,tt0031750,The Old Maid,nm0000012,Bette Davis,Performance
11,1939,011-1939,Best Acting,NA,tt0031867,The Roaring Twenties,nm0000010,James Cagney,Performance
11,1939,011-1939,Best Acting,NA,tt0032115,We Are Not Alone,nm0733460,Flora Robson,Performance
11,1939,011-1939,Best Acting,NA,tt0032145,Wuthering Heights,nm0280242,Geraldine Fitzgerald,Performance
11,1939,011-1939,Best Acting,NA,tt0032145,Wuthering Heights,nm0000059,Laurence Olivier,Performance
11,1939,011-1939,Best Acting,NA,tt0032155,Young Mr. Lincoln,nm0000020,Henry Fonda,Performance
11,1939,011-1939,Best Film,NA,tt0031173,Confessions of a Nazi Spy,NA,NA,Top Films
11,1939,011-1939,Best Foreign Language Film,NA,tt0030643,Port of Shadows,NA,NA,International
11,1939,011-1939,Top Foreign Films,NA,tt0029850,Alexander Nevsky,NA,NA,International
11,1939,011-1939,Top Foreign Films,NA,tt0028980,Harvest,NA,NA,International
11,1939,011-1939,Top Foreign Films,NA,tt0031309,La fin du jour,NA,NA,International
11,1939,011-1939,Top Foreign Films,NA,tt0030643,Port of Shadows,NA,NA,International
11,1939,011-1939,Top Foreign Films,NA,tt0031868,Robert Koch: The Battle Against Death,NA,NA,International
11,1939,011-1939,Top Ten Films,NA,tt0031173,Confessions of a Nazi Spy,NA,NA,Top Films
11,1939,011-1939,Top Ten Films,NA,tt0195616,Crisis,NA,NA,Top Films
11,1939,011-1939,Top Ten Films,NA,tt0031385,"Goodbye, Mr. Chips",NA,NA,Top Films
11,1939,011-1939,Top Ten Films,NA,tt0031679,Mr. Smith Goes to Washington,NA,NA,Top Films
11,1939,011-1939,Top Ten Films,NA,tt0031725,Ninotchka,NA,NA,Top Films
11,1939,011-1939,Top Ten Films,NA,tt0031971,Stagecoach,NA,NA,Top Films
11,1939,011-1939,Top Ten Films,NA,tt0031867,The Roaring Twenties,NA,NA,Top Films
11,1939,011-1939,Top Ten Films,NA,tt0031968,The Spy in Black,NA,NA,Top Films
11,1939,011-1939,Top Ten Films,NA,tt0032145,Wuthering Heights,NA,NA,Top Films
11,1939,011-1939,Top Ten Films,NA,tt0032155,Young Mr. Lincoln,NA,NA,Top Films
12,1940,012-1940,Best Acting,NA,tt0032447,Escape,nm0891998,Conrad Veidt,Performance
12,1940,012-1940,Best Acting,NA,tt0031381,Gone with the Wind,nm0000046,Vivien Leigh,Performance
12,1940,012-1940,Best Acting,NA,tt0031742,Of Mice and Men,nm0275897,Betty Field,Performance
12,1940,012-1940,Best Acting,NA,tt0032881,Our Town,nm0779549,Martha Scott,Performance
12,1940,012-1940,Best Acting,NA,tt0032881,Our Town,nm0000034,William Holden,Performance
12,1940,012-1940,Best Acting,NA,tt0032943,Pride and Prejudice,nm0002093,Greer Garson,Performance
12,1940,012-1940,Best Acting,NA,tt0032946,Primrose Path,nm0001677,Ginger Rogers,Performance
12,1940,012-1940,Best Acting,NA,tt0032976,Rebecca,nm0001695,George Sanders,Performance
12,1940,012-1940,Best Acting,NA,tt0032976,Rebecca,nm0000021,Joan Fontaine,Performance
12,1940,012-1940,Best Acting,NA,tt0032983,Return of Frank James,nm0000020,Henry Fonda,Performance
12,1940,012-1940,Best Acting,NA,tt0030127,The Baker's Wife,nm0706926,Raimu,Performance
12,1940,012-1940,Best Acting,NA,tt0031757,The Fugitive,nm0724732,Ralph Richardson,Performance
12,1940,012-1940,Best Acting,NA,tt0032551,The Grapes of Wrath,nm0000020,Henry Fonda,Performance
12,1940,012-1940,Best Acting,NA,tt0032551,The Grapes of Wrath,nm0002034,Jane Darwell,Performance
12,1940,012-1940,Best Acting,NA,tt0032553,The Great Dictator,nm0000122,Charles Chaplin,Performance
12,1940,012-1940,Best Acting,NA,tt0032728,The Long Voyage Home,nm0593775,Thomas Mitchell,Performance
12,1940,012-1940,Best Acting,NA,tt0033045,The Shop Around the Corner,nm0000071,James Stewart,Performance
12,1940,012-1940,Best Acting,NA,tt0033238,Waterloo Bridge,nm0000046,Vivien Leigh,Performance
12,1940,012-1940,Best Documentary,NA,tt0032465,The Fight for Life,NA,NA,Documentary
12,1940,012-1940,Best Film,NA,tt0032551,The Grapes of Wrath,NA,NA,Top Films
12,1940,012-1940,Best Foreign Language Film,NA,tt0030127,The Baker's Wife,NA,NA,International
12,1940,012-1940,Top Ten Films,NA,tt0032455,Fantasia,NA,NA,Top Films
12,1940,012-1940,Top Ten Films,NA,tt0032484,Foreign Correspondent,NA,NA,Top Films
12,1940,012-1940,Top Ten Films,NA,tt0031381,Gone with the Wind,NA,NA,Top Films
12,1940,012-1940,Top Ten Films,NA,tt0031742,Of Mice and Men,NA,NA,Top Films
12,1940,012-1940,Top Ten Films,NA,tt0032881,Our Town,NA,NA,Top Films
12,1940,012-1940,Top Ten Films,NA,tt0032976,Rebecca,NA,NA,Top Films
12,1940,012-1940,Top Ten Films,NA,tt0032254,The Biscuit Eater,NA,NA,Top Films
12,1940,012-1940,Top Ten Films,NA,tt0032551,The Grapes of Wrath,NA,NA,Top Films
12,1940,012-1940,Top Ten Films,NA,tt0032553,The Great Dictator,NA,NA,Top Films
12,1940,012-1940,Top Ten Films,NA,tt0032728,The Long Voyage Home,NA,NA,Top Films
13,1941,013-1941,Best Acting,NA,tt0033532,All That Money Can Buy,nm0404158,Walter Huston,Performance
13,1941,013-1941,Best Acting,NA,tt0033396,Birth of the Blues,nm0001078,Bing Crosby,Performance
13,1941,013-1941,Best Acting,NA,tt0033467,Citizen Kane,nm0183459,George Coulouris,Performance
13,1941,013-1941,Best Acting,NA,tt0033467,Citizen Kane,nm0000080,Orson Welles,Performance
13,1941,013-1941,Best Acting,NA,tt0033712,Here Comes Mr. Jordan,nm0322299,James Gleason,Performance
13,1941,013-1941,Best Acting,NA,tt0033712,Here Comes Mr. Jordan,nm0599910,Robert Montgomery,Performance
13,1941,013-1941,Best Acting,NA,tt0033717,High Sierra,nm0000007,Humphrey Bogart,Performance
13,1941,013-1941,Best Acting,NA,tt0033717,High Sierra,nm0526946,Ida Lupino,Performance
13,1941,013-1941,Best Acting,NA,tt0033729,How Green Was My Valley,nm0187981,Donald Crisp,Performance
13,1941,013-1941,Best Acting,NA,tt0033729,How Green Was My Valley,nm0001522,Roddy McDowall,Performance
