"AwardCeremony","Actor, Lead","Actor, Supporting","Actress, Lead","Actress, Supporting","Animated","Art Direction","Cinematography","Costume","Director","Director, Assistant","Documentary","Film Editing","International","Makeup","Picture","Score","Short, Animated","Short, Documentary","Short, Live Action","Song","Sound","Visual Effects","Writing","<NA>"
"83-2011",0.8,0.8,1,0.8,0.3,1,1,0.6,1,NA,0.2,1,0,0,1,0.8,0.4,0,0,0.8,0.9,0.8,0.9,NA
"84-2012",1,0.8,0.6,0.8,0,1,1,0.6,1,NA,0,1,0,0.7,1,1,0.6,0.4,0,0.5,1,1,0.8,NA
"85-2013",0.8,0.8,0.6,0.8,0.6,0.6,0.6,0.2,0.6,NA,0,0.8,0,0.7,0.8,0.6,0.4,0,0.2,0.8,0.9,0.8,0.8,NA
"86-2014",1,1,0.8,0.8,0.4,1,0.6,0.6,1,NA,0,1,0.2,0.7,1,0.8,0,0,0,0.6,0.7,0.8,1,NA
"87-2015",1,1,1,1,0.2,0.8,0.4,0.8,1,NA,0,1,0,1,1,0.8,0,0,0.2,0.4,0.8,1,1,NA
"88-2016",1,1,0.8,1,0.4,1,1,1,1,NA,0,1,0,0.7,1,1,0,0,0.2,0.2,1,1,1,NA
"89-2017",1,1,0.8,1,0.4,1,1,1,1,NA,0,1,0.2,0.7,1,1,0.2,0.2,0,0.5,0.7,0.4,1,NA
"90-2018",0.8,0.8,1,1,0.4,1,1,0.8,1,NA,0.2,1,0,0.3,1,1,0.6,0,0,0.8,1,0.8,1,NA
"91-2019",0.8,1,1,0.8,0.8,0.8,0.8,0.6,1,NA,0.2,1,0.4,0.3,1,0.8,0.2,0.2,0.2,0.8,0.8,0.8,0.8,NA
"92-2020",1,1,0.8,0.8,0.4,1,1,1,1,NA,0,1,0.4,1,1,1,0.6,0.6,0.4,0.6,1,1,1,NA
"93-2021",1,1,1,1,0.4,0.8,0.8,0.8,1,NA,0.4,1,0.6,0.8,1,0.6,0.6,0.8,0.8,0.8,0.6,0.6,1,NA
"94-2022",1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
"95-2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
