"AwardCategory","AwardWinner","AwardCeremony","FilmID","FilmName","PersonID","PersonName","CompanyID","CompanyName","AwardType","Your.Rating","IMDb.Rating","Num.Votes"
"Best Sound",NA,"64-1992","tt0101393","Backdraft","nm1491296","Glenn Williams",NA,NA,"Effects",6,6.7,87279
"Best Sound",NA,"64-1992","tt0101414","Beauty and the Beast","nm0692310","Terry Porter",NA,NA,"Effects",8,8,476792
"Best Sound",NA,"64-1992","tt0101414","Beauty and the Beast","nm0582467","Mel Metcalfe",NA,NA,"Effects",8,8,476792
"Best Sound",NA,"64-1992","tt0101414","Beauty and the Beast","nm0399812","David J. Hudson",NA,NA,"Effects",8,8,476792
"Best Sound",NA,"64-1992","tt0101414","Beauty and the Beast","nm0437301","Doc Kane",NA,NA,"Effects",8,8,476792
"Best Sound",NA,"64-1992","tt0102138","JFK","nm0591444","Michael Minkler",NA,NA,"Effects",6,8,168733
"Best Sound",NA,"64-1992","tt0102138","JFK","nm0484414","Gregg Landaker",NA,NA,"Effects",6,8,168733
"Best Sound",NA,"64-1992","tt0102138","JFK","nm0537972","Tod A. Maitland",NA,NA,"Effects",6,8,168733
"Best Sound",NA,"64-1992","tt0102926","The Silence of the Lambs","nm0281530","Tom Fleischman",NA,NA,"Effects",9,8.6,1532637
"Best Sound",NA,"64-1992","tt0102926","The Silence of the Lambs","nm0628039","Christopher Newman",NA,NA,"Effects",9,8.6,1532637
"Best Writing, Screenplay Based on Material Previously Produced or Published","Winner","64-1992","tt0102926","The Silence of the Lambs","nm0848217","Ted Tally",NA,NA,"Writing",9,8.6,1532637
"Best Writing, Screenplay Based on Material Previously Produced or Published",NA,"64-1992","tt0099776","Europa Europa","nm0002140","Agnieszka Holland",NA,NA,"Writing",NA,7.6,17380
"Best Writing, Screenplay Based on Material Previously Produced or Published",NA,"64-1992","tt0101921","Fried Green Tomatoes","nm0280840","Fannie Flagg",NA,NA,"Writing",8,7.7,82278
"Best Writing, Screenplay Based on Material Previously Produced or Published",NA,"64-1992","tt0101921","Fried Green Tomatoes","nm0811807","Carol Sobieski",NA,NA,"Writing",8,7.7,82278
"Best Writing, Screenplay Based on Material Previously Produced or Published",NA,"64-1992","tt0102138","JFK","nm0000231","Oliver Stone",NA,NA,"Writing",6,8,168733
"Best Writing, Screenplay Based on Material Previously Produced or Published",NA,"64-1992","tt0102138","JFK","nm0804466","Zachary Sklar",NA,NA,"Writing",6,8,168733
"Best Writing, Screenplay Based on Material Previously Produced or Published",NA,"64-1992","tt0102713","The Prince of Tides","nm0175852","Pat Conroy",NA,NA,"Writing",6,6.8,19532
"Best Writing, Screenplay Based on Material Previously Produced or Published",NA,"64-1992","tt0102713","The Prince of Tides","nm0426539","Becky Johnston",NA,NA,"Writing",6,6.8,19532
"Best Writing, Screenplay Written Directly for the Screen","Winner","64-1992","tt0103074","Thelma & Louise","nm0451884","Callie Khouri",NA,NA,"Writing",9,7.6,170628
"Best Writing, Screenplay Written Directly for the Screen",NA,"64-1992","tt0101507","Boyz n the Hood","nm0005436","John Singleton",NA,NA,"Writing",7,7.8,153077
"Best Writing, Screenplay Written Directly for the Screen",NA,"64-1992","tt0101516","Bugsy","nm0864812","James Toback",NA,NA,"Writing",5,6.8,30772
"Best Writing, Screenplay Written Directly for the Screen",NA,"64-1992","tt0101969","Grand Canyon","nm0001410","Lawrence Kasdan",NA,NA,"Writing",NA,6.8,16603
"Best Writing, Screenplay Written Directly for the Screen",NA,"64-1992","tt0101969","Grand Canyon","nm0440462","Meg Kasdan",NA,NA,"Writing",NA,6.8,16603
"Best Writing, Screenplay Written Directly for the Screen",NA,"64-1992","tt0101889","The Fisher King","nm0481418","Richard LaGravenese",NA,NA,"Writing",6,7.5,90324
"Best Actor in a Leading Role","Winner","65-1993","tt0105323","Scent of a Woman","nm0000199","Al Pacino",NA,NA,"Performance",9,8,325400
"Best Actor in a Leading Role",NA,"65-1993","tt0105695","Unforgiven","nm0000142","Clint Eastwood",NA,NA,"Performance",7,8.2,433042
"Best Actor in a Leading Role",NA,"65-1993","tt0104797","Malcolm X","nm0000243","Denzel Washington",NA,NA,"Performance",NA,7.7,101293
"Best Actor in a Leading Role",NA,"65-1993","tt0103939","Chaplin","nm0000375","Robert Downey Jr.",NA,NA,"Performance",NA,7.5,61736
"Best Actor in a Leading Role",NA,"65-1993","tt0104036","The Crying Game","nm0001653","Stephen Rea",NA,NA,"Performance",7,7.2,59703
"Best Actor in a Supporting Role","Winner","65-1993","tt0105695","Unforgiven","nm0000432","Gene Hackman",NA,NA,"Performance",7,8.2,433042
"Best Actor in a Supporting Role",NA,"65-1993","tt0104348","Glengarry Glen Ross","nm0000199","Al Pacino",NA,NA,"Performance",7,7.7,114892
"Best Actor in a Supporting Role",NA,"65-1993","tt0104928","Mr. Saturday Night","nm0001601","David Paymer",NA,NA,"Performance",NA,5.9,6301
"Best Actor in a Supporting Role",NA,"65-1993","tt0104257","A Few Good Men","nm0000197","Jack Nicholson",NA,NA,"Performance",6,7.7,284802
"Best Actor in a Supporting Role",NA,"65-1993","tt0104036","The Crying Game","nm0001109","Jaye Davidson",NA,NA,"Performance",7,7.2,59703
"Best Actress in a Leading Role","Winner","65-1993","tt0104454","Howards End","nm0000668","Emma Thompson",NA,NA,"Performance",7,7.4,35481
"Best Actress in a Leading Role",NA,"65-1993","tt0104507","Indochine","nm0000366","Catherine Deneuve",NA,NA,"Performance",NA,7,10808
"Best Actress in a Leading Role",NA,"65-1993","tt0105107","Passion Fish","nm0001521","Mary McDonnell",NA,NA,"Performance",NA,7.3,6040
"Best Actress in a Leading Role",NA,"65-1993","tt0104765","Love Field","nm0000201","Michelle Pfeiffer",NA,NA,"Performance",NA,6.5,4330
"Best Actress in a Leading Role",NA,"65-1993","tt0104756","Lorenzo's Oil","nm0000215","Susan Sarandon",NA,NA,"Performance",NA,7.3,23883
"Best Actress in a Supporting Role","Winner","65-1993","tt0104952","My Cousin Vinny","nm0000673","Marisa Tomei",NA,NA,"Performance",5,7.6,138600
"Best Actress in a Supporting Role",NA,"65-1993","tt0101811","Enchanted April","nm0687506","Joan Plowright",NA,NA,"Performance",NA,7.3,7082
"Best Actress in a Supporting Role",NA,"65-1993","tt0104466","Husbands and Wives","nm0001114","Judy Davis",NA,NA,"Performance",NA,7.5,31042
"Best Actress in a Supporting Role",NA,"65-1993","tt0104237","Damage","nm0001669","Miranda Richardson",NA,NA,"Performance",NA,6.7,20293
"Best Actress in a Supporting Role",NA,"65-1993","tt0104454","Howards End","nm0000603","Vanessa Redgrave",NA,NA,"Performance",7,7.4,35481
"Best Art Direction-Set Decoration","Winner","65-1993","tt0104454","Howards End","nm0002186","Luciana Arrighi",NA,NA,"Visual Style",7,7.4,35481
"Best Art Direction-Set Decoration","Winner","65-1993","tt0104454","Howards End","nm0926434","Ian Whittaker",NA,NA,"Visual Style",7,7.4,35481
"Best Art Direction-Set Decoration",NA,"65-1993","tt0103939","Chaplin","nm0186023","Stuart Craig",NA,NA,"Visual Style",NA,7.5,61736
"Best Art Direction-Set Decoration",NA,"65-1993","tt0103939","Chaplin","nm0124862","Chris Butler",NA,NA,"Visual Style",NA,7.5,61736
"Best Art Direction-Set Decoration",NA,"65-1993","tt0103874","Dracula","nm0761742","Thomas E. Sanders",NA,NA,"Visual Style",6,7.4,236272
"Best Art Direction-Set Decoration",NA,"65-1993","tt0103874","Dracula","nm0507204","Garrett Lewis",NA,NA,"Visual Style",6,7.4,236272
"Best Art Direction-Set Decoration",NA,"65-1993","tt0105629","Toys","nm0769162","Ferdinando Scarfiotti",NA,NA,"Visual Style",NA,5.1,33489
"Best Art Direction-Set Decoration",NA,"65-1993","tt0105629","Toys","nm0220984","Linda DeScenna",NA,NA,"Visual Style",NA,5.1,33489
"Best Art Direction-Set Decoration",NA,"65-1993","tt0105695","Unforgiven","nm0120317","Henry Bumstead",NA,NA,"Visual Style",7,8.2,433042
"Best Art Direction-Set Decoration",NA,"65-1993","tt0105695","Unforgiven","nm0085706","Janice Blackie-Goodine",NA,NA,"Visual Style",7,8.2,433042
"Best Cinematography","Winner","65-1993","tt0105265","A River Runs Through It","nm0003542","Philippe Rousselot",NA,NA,"Visual Style",6,7.2,64903
"Best Cinematography",NA,"65-1993","tt0104427","Hoffa","nm0005664","Stephen H. Burum",NA,NA,"Visual Style",NA,6.6,24641
"Best Cinematography",NA,"65-1993","tt0104454","Howards End","nm0682503","Tony Pierce-Roberts",NA,NA,"Visual Style",7,7.4,35481
"Best Cinematography",NA,"65-1993","tt0101316","The Lover","nm0005709","Robert Fraisse",NA,NA,"Visual Style",NA,6.8,23304
"Best Cinematography",NA,"65-1993","tt0105695","Unforgiven","nm0005726","Jack N. Green",NA,NA,"Visual Style",7,8.2,433042
"Best Costume Design","Winner","65-1993","tt0103874","Dracula","nm0411130","Eiko Ishioka",NA,NA,"Visual Style",6,7.4,236272
"Best Costume Design",NA,"65-1993","tt0101811","Enchanted April","nm0621042","Sheena Napier",NA,NA,"Visual Style",NA,7.3,7082
"Best Costume Design",NA,"65-1993","tt0104454","Howards End","nm0064746","Jenny Beavan",NA,NA,"Visual Style",7,7.4,35481
"Best Costume Design",NA,"65-1993","tt0104454","Howards End","nm0109149","John Bright",NA,NA,"Visual Style",7,7.4,35481
"Best Costume Design",NA,"65-1993","tt0104797","Malcolm X","nm0141921","Ruth E. Carter",NA,NA,"Visual Style",NA,7.7,101293
"Best Costume Design",NA,"65-1993","tt0105629","Toys","nm0938717","Albert Wolsky",NA,NA,"Visual Style",NA,5.1,33489
"Best Director","Winner","65-1993","tt0105695","Unforgiven","nm0000142","Clint Eastwood",NA,NA,"Director",7,8.2,433042
"Best Director",NA,"65-1993","tt0104454","Howards End","nm0412465","James Ivory",NA,NA,"Director",7,7.4,35481
"Best Director",NA,"65-1993","tt0105323","Scent of a Woman","nm0000976","Martin Brest",NA,NA,"Director",9,8,325400
"Best Director",NA,"65-1993","tt0104036","The Crying Game","nm0001403","Neil Jordan",NA,NA,"Director",7,7.2,59703
"Best Director",NA,"65-1993","tt0105151","The Player","nm0000265","Robert Altman",NA,NA,"Director",6,7.5,65273
"Best Documentary, Features","Winner","65-1993","tt0105089","The Panama Deception","nm0872134","Barbara Trent",NA,NA,"Documentary",NA,7.5,1160
"Best Documentary, Features","Winner","65-1993","tt0105089","The Panama Deception","nm0440722","David Kasper",NA,NA,"Documentary",NA,7.5,1160
"Best Documentary, Features",NA,"65-1993","tt0103938","Changing Our Minds: The Story of Dr. Evelyn Hooker","nm0369361","David Haugland",NA,NA,"Documentary",NA,6.9,65
"Best Documentary, Features",NA,"65-1993","tt0104275","Fires of Kuwait","nm0242183","Sally Dundas",NA,NA,"Documentary",NA,7.3,574
"Best Documentary, Features",NA,"65-1993","tt0104721","Liberators: Fighting on Two Fronts in World War II","nm0587263","William Miles",NA,NA,"Documentary",NA,4.5,96
"Best Documentary, Features",NA,"65-1993","tt0104721","Liberators: Fighting on Two Fronts in World War II","nm0742466","Nina Rosenblum",NA,NA,"Documentary",NA,4.5,96
"Best Documentary, Features",NA,"65-1993","tt0104946","Music for the Movies: Bernard Herrmann","nm0807001","Margaret Smilow",NA,NA,"Documentary",NA,7.5,205
"Best Documentary, Features",NA,"65-1993","tt0104946","Music for the Movies: Bernard Herrmann","nm0052953","Roma Baran",NA,NA,"Documentary",NA,7.5,205
"Best Documentary, Short Subjects","Winner","65-1993","tt0104167","Educating Peter","nm0329559","Thomas C. Goodwin",NA,NA,"Short",NA,7.3,212
"Best Documentary, Short Subjects","Winner","65-1993","tt0104167","Educating Peter","nm0943458","Gerardine Wurzburg",NA,NA,"Short",NA,7.3,212
"Best Documentary, Short Subjects",NA,"65-1993","tt0103728","At the Edge of Conquest: The Journey of Chief Wai-Wai","nm0640337","Geoffrey O'Connor",NA,NA,"Short",NA,NA,NA
"Best Documentary, Short Subjects",NA,"65-1993","tt0103803","Beyond Imagining: Margaret Anderson and the 'Little Review'","nm0918157","Wendy L. Weinberg",NA,NA,"Short",NA,6.9,17
"Best Documentary, Short Subjects",NA,"65-1993","tt0103985","The Colours of My Father: A Portrait of Sam Borenstein","nm2423498","Richard Elson",NA,NA,"Short",5,6.3,65
"Best Documentary, Short Subjects",NA,"65-1993","tt0103985","The Colours of My Father: A Portrait of Sam Borenstein","nm0090618","Sally Bochner",NA,NA,"Short",5,6.3,65
"Best Documentary, Short Subjects",NA,"65-1993","tt0105805","When Abortion Was Illegal: Untold Stories","nm0264936","Dorothy Fadiman",NA,NA,"Short",NA,6.9,71
"Best Effects, Sound Effects Editing","Winner","65-1993","tt0103874","Dracula","nm0565344","Tom C. McCarthy",NA,NA,"Effects",6,7.4,236272
"Best Effects, Sound Effects Editing","Winner","65-1993","tt0103874","Dracula","nm0831823","David E. Stone",NA,NA,"Effects",6,7.4,236272
"Best Effects, Sound Effects Editing",NA,"65-1993","tt0103639","Aladdin","nm0005625","Mark A. Mangini",NA,NA,"Effects",6,8,461398
"Best Effects, Sound Effects Editing",NA,"65-1993","tt0105690","Under Siege","nm0505311","John Leveque",NA,NA,"Effects",6,6.5,94801
"Best Effects, Sound Effects Editing",NA,"65-1993","tt0105690","Under Siege","nm0821801","Bruce Stambler",NA,NA,"Effects",6,6.5,94801
"Best Effects, Visual Effects","Winner","65-1993","tt0104070","Death Becomes Her","nm0707822","Ken Ralston",NA,NA,"Effects",7,6.6,129909
"Best Effects, Visual Effects","Winner","65-1993","tt0104070","Death Becomes Her","nm0156956","Doug Chiang",NA,NA,"Effects",7,6.6,129909
"Best Effects, Visual Effects","Winner","65-1993","tt0104070","Death Becomes Her","nm0810817","Douglas Smythe",NA,NA,"Effects",7,6.6,129909
"Best Effects, Visual Effects","Winner","65-1993","tt0104070","Death Becomes Her","nm0940430","Tom Woodruff Jr.",NA,NA,"Effects",7,6.6,129909
"Best Effects, Visual Effects",NA,"65-1993","tt0103644","Alien³","nm0940430","Tom Woodruff Jr.",NA,NA,"Effects",6,6.4,317032
"Best Effects, Visual Effects",NA,"65-1993","tt0103644","Alien³","nm0249430","Richard Edlund",NA,NA,"Effects",6,6.4,317032
"Best Effects, Visual Effects",NA,"65-1993","tt0103644","Alien³","nm0319266","Alec Gillis",NA,NA,"Effects",6,6.4,317032
"Best Effects, Visual Effects",NA,"65-1993","tt0103644","Alien³","nm0316672","George Gibbs",NA,NA,"Effects",6,6.4,317032
"Best Effects, Visual Effects",NA,"65-1993","tt0103776","Batman Returns","nm0277842","Michael L. Fink",NA,NA,"Effects",4,7.1,325017
"Best Effects, Visual Effects",NA,"65-1993","tt0103776","Batman Returns","nm0057652","Craig Barron",NA,NA,"Effects",4,7.1,325017
"Best Effects, Visual Effects",NA,"65-1993","tt0103776","Batman Returns","nm0116497","John Bruno",NA,NA,"Effects",4,7.1,325017
"Best Effects, Visual Effects",NA,"65-1993","tt0103776","Batman Returns","nm0804737","Dennis Skotak",NA,NA,"Effects",4,7.1,325017
"Best Film Editing","Winner","65-1993","tt0105695","Unforgiven","nm0185088","Joel Cox",NA,NA,"Effects",7,8.2,433042
"Best Film Editing",NA,"65-1993","tt0104257","A Few Good Men","nm0500371","Robert Leighton",NA,NA,"Effects",6,7.7,284802
"Best Film Editing",NA,"65-1993","tt0103772","Basic Instinct","nm0881973","Frank J. Urioste",NA,NA,"Effects",7,7,216979
"Best Film Editing",NA,"65-1993","tt0104036","The Crying Game","nm0659013","Kant Pan",NA,NA,"Effects",7,7.2,59703
"Best Film Editing",NA,"65-1993","tt0105151","The Player","nm0674419","Geraldine Peroni",NA,NA,"Effects",6,7.5,65273
"Best Foreign Language Film","Winner","65-1993","tt0104507","Indochine",NA,NA,NA,NA,"International",NA,7,10808
"Best Foreign Language Film",NA,"65-1993","tt0104774","A Place in the World",NA,NA,NA,NA,"International",NA,7.7,2770
"Best Foreign Language Film",NA,"65-1993","tt0103176","Close to Eden",NA,NA,NA,NA,"International",NA,7.6,3829
"Best Foreign Language Film",NA,"65-1993","tt0104046","Daens",NA,NA,NA,NA,"International",NA,7.5,4370
"Best Foreign Language Film",NA,"65-1993","tt0105328","Schtonk",NA,NA,NA,NA,"International",8,7.2,4003
"Best Makeup","Winner","65-1993","tt0103874","Dracula","nm0134148","Greg Cannom",NA,NA,"Visual Style",6,7.4,236272
"Best Makeup","Winner","65-1993","tt0103874","Dracula","nm0121807","Michèle Burke",NA,NA,"Visual Style",6,7.4,236272
"Best Makeup","Winner","65-1993","tt0103874","Dracula","nm0612817","Matthew W. Mungle",NA,NA,"Visual Style",6,7.4,236272
"Best Makeup",NA,"65-1993","tt0103776","Batman Returns","nm0624763","Ve Neill",NA,NA,"Visual Style",4,7.1,325017
"Best Makeup",NA,"65-1993","tt0103776","Batman Returns","nm0817463","Ronnie Specter",NA,NA,"Visual Style",4,7.1,325017
"Best Makeup",NA,"65-1993","tt0103776","Batman Returns","nm0935644","Stan Winston",NA,NA,"Visual Style",4,7.1,325017
"Best Makeup",NA,"65-1993","tt0104427","Hoffa","nm0134148","Greg Cannom",NA,NA,"Visual Style",NA,6.6,24641
"Best Makeup",NA,"65-1993","tt0104427","Hoffa","nm0624763","Ve Neill",NA,NA,"Visual Style",NA,6.6,24641
"Best Makeup",NA,"65-1993","tt0104427","Hoffa","nm0086601","John Blake",NA,NA,"Visual Style",NA,6.6,24641
"Best Music, Original Score","Winner","65-1993","tt0103639","Aladdin","nm0579678","Alan Menken",NA,NA,"Music",6,8,461398
"Best Music, Original Score",NA,"65-1993","tt0105265","A River Runs Through It","nm0006142","Mark Isham",NA,NA,"Music",6,7.2,64903
"Best Music, Original Score",NA,"65-1993","tt0103772","Basic Instinct","nm0000025","Jerry Goldsmith",NA,NA,"Music",7,7,216979
"Best Music, Original Score",NA,"65-1993","tt0103939","Chaplin","nm0000290","John Barry",NA,NA,"Music",NA,7.5,61736
"Best Music, Original Score",NA,"65-1993","tt0104454","Howards End","nm0006442","Richard Robbins",NA,NA,"Music",7,7.4,35481
"Best Music, Original Song","Winner","65-1993","tt0103639","Aladdin","nm0579678","Alan Menken",NA,NA,"Music",6,8,461398
"Best Music, Original Song","Winner","65-1993","tt0103639","Aladdin","nm0005358","Tim Rice",NA,NA,"Music",6,8,461398
"Best Music, Original Song",NA,"65-1993","tt0103639","Aladdin","nm0579678","Alan Menken",NA,NA,"Music",6,8,461398
"Best Music, Original Song",NA,"65-1993","tt0103639","Aladdin","nm0039141","Howard Ashman",NA,NA,"Music",6,8,461398
"Best Music, Original Song",NA,"65-1993","tt0103855","The Bodyguard","nm0295267","Jud Friedman",NA,NA,"Music",5,6.4,146468
"Best Music, Original Song",NA,"65-1993","tt0103855","The Bodyguard","nm0723591","Allan Rich",NA,NA,"Music",5,6.4,146468
"Best Music, Original Song",NA,"65-1993","tt0103855","The Bodyguard","nm0287757","David Foster",NA,NA,"Music",5,6.4,146468
"Best Music, Original Song",NA,"65-1993","tt0103855","The Bodyguard","nm0860419","Linda Thompson",NA,NA,"Music",5,6.4,146468
"Best Music, Original Song",NA,"65-1993","tt0104802","The Mambo Kings","nm0469234","Robert Kraft",NA,NA,"Music",NA,6.4,5915
"Best Music, Original Song",NA,"65-1993","tt0104802","The Mambo Kings","nm0322865","Arne Glimcher",NA,NA,"Music",NA,6.4,5915
"Best Picture","Winner","65-1993","tt0105695","Unforgiven","nm0000142","Clint Eastwood",NA,NA,"Picture",7,8.2,433042
"Best Picture",NA,"65-1993","tt0104257","A Few Good Men","nm0113360","David Brown",NA,NA,"Picture",6,7.7,284802
"Best Picture",NA,"65-1993","tt0104257","A Few Good Men","nm0001661","Rob Reiner",NA,NA,"Picture",6,7.7,284802
"Best Picture",NA,"65-1993","tt0104257","A Few Good Men","nm0770650","Andrew Scheinman",NA,NA,"Picture",6,7.7,284802
"Best Picture",NA,"65-1993","tt0104454","Howards End","nm0580337","Ismail Merchant",NA,NA,"Picture",7,7.4,35481
"Best Picture",NA,"65-1993","tt0105323","Scent of a Woman","nm0000976","Martin Brest",NA,NA,"Picture",9,8,325400
"Best Picture",NA,"65-1993","tt0104036","The Crying Game","nm0941262","Stephen Woolley",NA,NA,"Picture",7,7.2,59703
"Best Short Film, Animated","Winner","65-1993","tt0104908","Mona Lisa Descending a Staircase","nm0336049","Joan C. Gratz",NA,NA,"Short",5,6.9,860
"Best Short Film, Animated",NA,"65-1993","tt0101270","Adam","nm0520485","Peter Lord",NA,NA,"Short",7,6.6,643
"Best Short Film, Animated",NA,"65-1993","tt0105335","Screen Play","nm0701000","Barry Purves",NA,NA,"Short",8,7.4,222
"Best Short Film, Animated",NA,"65-1993","tt0105311","The Sandman","nm0077651","Paul Berry",NA,NA,"Short",10,7.4,1521
"Best Short Film, Animated",NA,"65-1993","tt0105224","Words, Words, Words","nm0667912","Michaela Pavlátová",NA,NA,"Short",NA,7.1,337
"Best Short Film, Live Action","Winner","65-1993","tt0105051","Omnibus","nm0439748","Sam Karmann",NA,NA,"Short",5,7.2,600
"Best Short Film, Live Action",NA,"65-1993","tt0104007","Contact","nm0200978","Jonathan Darby",NA,NA,"Short",NA,6.1,794
"Best Short Film, Live Action",NA,"65-1993","tt0104007","Contact","nm0578604","Jana Sue Memel",NA,NA,"Short",NA,6.1,794
"Best Short Film, Live Action",NA,"65-1993","tt0104032","Cruise Control","nm0658585","Matt Palmieri",NA,NA,"Short",NA,4.1,63
"Best Short Film, Live Action",NA,"65-1993","tt0105506","Swan Song","nm0000110","Kenneth Branagh",NA,NA,"Short",6,7.4,195
"Best Short Film, Live Action",NA,"65-1993","tt0104669","The Lady in Waiting","nm0995597","Christian Taylor",NA,NA,"Short",7,6.5,51
"Best Sound","Winner","65-1993","tt0104691","The Last of the Mohicans","nm0420804","Chris Jenkins",NA,NA,"Effects",7,7.7,185618
"Best Sound","Winner","65-1993","tt0104691","The Last of the Mohicans","nm0376153","Doug Hemphill",NA,NA,"Effects",7,7.7,185618
"Best Sound","Winner","65-1993","tt0104691","The Last of the Mohicans","nm0809234","Mark Smith",NA,NA,"Effects",7,7.7,185618
"Best Sound","Winner","65-1993","tt0104691","The Last of the Mohicans","nm0443393","Simon Kaye",NA,NA,"Effects",7,7.7,185618
"Best Sound",NA,"65-1993","tt0104257","A Few Good Men","nm0640114","Kevin O'Connell",NA,NA,"Effects",6,7.7,284802
"Best Sound",NA,"65-1993","tt0104257","A Few Good Men","nm0459662","Rick Kline",NA,NA,"Effects",6,7.7,284802
"Best Sound",NA,"65-1993","tt0104257","A Few Good Men","nm0248024","Robert Eber",NA,NA,"Effects",6,7.7,284802
"Best Sound",NA,"65-1993","tt0103639","Aladdin","nm0692310","Terry Porter",NA,NA,"Effects",6,8,461398
"Best Sound",NA,"65-1993","tt0103639","Aladdin","nm0582467","Mel Metcalfe",NA,NA,"Effects",6,8,461398
"Best Sound",NA,"65-1993","tt0103639","Aladdin","nm0399812","David J. Hudson",NA,NA,"Effects",6,8,461398
"Best Sound",NA,"65-1993","tt0103639","Aladdin","nm0437301","Doc Kane",NA,NA,"Effects",6,8,461398
"Best Sound",NA,"65-1993","tt0105690","Under Siege","nm0593290","Donald O. Mitchell",NA,NA,"Effects",6,6.5,94801
"Best Sound",NA,"65-1993","tt0105690","Under Siege","nm0599057","Frank A. Montaño",NA,NA,"Effects",6,6.5,94801
"Best Sound",NA,"65-1993","tt0105690","Under Siege","nm0366494","Rick Hart",NA,NA,"Effects",6,6.5,94801
"Best Sound",NA,"65-1993","tt0105690","Under Siege","nm0809896","Scott D. Smith",NA,NA,"Effects",6,6.5,94801
"Best Sound",NA,"65-1993","tt0105695","Unforgiven","nm0294370","Les Fresholtz",NA,NA,"Effects",7,8.2,433042
"Best Sound",NA,"65-1993","tt0105695","Unforgiven","nm0691005","Vern Poore",NA,NA,"Effects",7,8.2,433042
"Best Sound",NA,"65-1993","tt0105695","Unforgiven","nm1219804","Rick Alexander",NA,NA,"Effects",7,8.2,433042
"Best Sound",NA,"65-1993","tt0105695","Unforgiven","nm0949997","Rob Young",NA,NA,"Effects",7,8.2,433042
"Best Writing, Screenplay Based on Material Previously Produced or Published","Winner","65-1993","tt0104454","Howards End","nm0695609","Ruth Prawer Jhabvala",NA,NA,"Writing",7,7.4,35481
"Best Writing, Screenplay Based on Material Previously Produced or Published",NA,"65-1993","tt0105265","A River Runs Through It","nm0295030","Richard Friedenberg",NA,NA,"Writing",6,7.2,64903
"Best Writing, Screenplay Based on Material Previously Produced or Published",NA,"65-1993","tt0101811","Enchanted April","nm0055726","Peter Barnes",NA,NA,"Writing",NA,7.3,7082
"Best Writing, Screenplay Based on Material Previously Produced or Published",NA,"65-1993","tt0105323","Scent of a Woman","nm0325743","Bo Goldman",NA,NA,"Writing",9,8,325400
"Best Writing, Screenplay Based on Material Previously Produced or Published",NA,"65-1993","tt0105151","The Player","nm0866062","Michael Tolkin",NA,NA,"Writing",6,7.5,65273
"Best Writing, Screenplay Written Directly for the Screen","Winner","65-1993","tt0104036","The Crying Game","nm0001403","Neil Jordan",NA,NA,"Writing",7,7.2,59703
"Best Writing, Screenplay Written Directly for the Screen",NA,"65-1993","tt0104466","Husbands and Wives","nm0000095","Woody Allen",NA,NA,"Writing",NA,7.5,31042
"Best Writing, Screenplay Written Directly for the Screen",NA,"65-1993","tt0104756","Lorenzo's Oil","nm0004306","George Miller",NA,NA,"Writing",NA,7.3,23883
"Best Writing, Screenplay Written Directly for the Screen",NA,"65-1993","tt0104756","Lorenzo's Oil","nm0258012","Nick Enright",NA,NA,"Writing",NA,7.3,23883
"Best Writing, Screenplay Written Directly for the Screen",NA,"65-1993","tt0105107","Passion Fish","nm0000626","John Sayles",NA,NA,"Writing",NA,7.3,6040
"Best Writing, Screenplay Written Directly for the Screen",NA,"65-1993","tt0105695","Unforgiven","nm0672459","David Webb Peoples",NA,NA,"Writing",7,8.2,433042
"Best Actor in a Leading Role","Winner","66-1994","tt0107818","Philadelphia","nm0000158","Tom Hanks",NA,NA,"Performance",7,7.7,256361
"Best Actor in a Leading Role",NA,"66-1994","tt0107943","The Remains of the Day","nm0000164","Anthony Hopkins",NA,NA,"Performance",9,7.8,83421
"Best Actor in a Leading Role",NA,"66-1994","tt0107207","In the Name of the Father","nm0000358","Daniel Day-Lewis",NA,NA,"Performance",10,8.1,185691
"Best Actor in a Leading Role",NA,"66-1994","tt0108551","What's Love Got to Do with It","nm0000401","Laurence Fishburne",NA,NA,"Performance",NA,7.3,24393
"Best Actor in a Leading Role",NA,"66-1994","tt0108052","Schindler's List","nm0000553","Liam Neeson",NA,NA,"Performance",8,9,1436585
"Best Actor in a Supporting Role","Winner","66-1994","tt0106977","The Fugitive","nm0000169","Tommy Lee Jones",NA,NA,"Performance",7,7.8,315722
"Best Actor in a Supporting Role",NA,"66-1994","tt0107206","In the Line of Fire","nm0000518","John Malkovich",NA,NA,"Performance",NA,7.2,112799
"Best Actor in a Supporting Role",NA,"66-1994","tt0108550","What's Eating Gilbert Grape","nm0000138","Leonardo DiCaprio",NA,NA,"Performance",8,7.7,252299
"Best Actor in a Supporting Role",NA,"66-1994","tt0107207","In the Name of the Father","nm0000592","Pete Postlethwaite",NA,NA,"Performance",10,8.1,185691
"Best Actor in a Supporting Role",NA,"66-1994","tt0108052","Schindler's List","nm0000146","Ralph Fiennes",NA,NA,"Performance",8,9,1436585
"Best Actress in a Leading Role","Winner","66-1994","tt0107822","The Piano","nm0000456","Holly Hunter",NA,NA,"Performance",8,7.5,94481
"Best Actress in a Leading Role",NA,"66-1994","tt0108551","What's Love Got to Do with It","nm0000291","Angela Bassett",NA,NA,"Performance",NA,7.3,24393
"Best Actress in a Leading Role",NA,"66-1994","tt0108101","Shadowlands","nm0000700","Debra Winger",NA,NA,"Performance",NA,7.3,20299
