"AwardCategory","AwardWinner","AwardCeremony","FilmID","FilmName","PersonID","PersonName","CompanyID","CompanyName","AwardType","Your.Rating","IMDb.Rating","Num.Votes"
"Best Music, Original Song",NA,"10-1938","tt0029546","Shall We Dance","nm0006097","George Gershwin",NA,NA,"Music",NA,7.4,7822
"Best Music, Original Song",NA,"10-1938","tt0029546","Shall We Dance","nm0314857","Ira Gershwin",NA,NA,"Music",NA,7.4,7822
"Best Music, Original Song",NA,"10-1938","tt0029737","Vogues of 1938","nm0006066","Sammy Fain",NA,NA,"Music",NA,5.9,319
"Best Music, Original Song",NA,"10-1938","tt0029737","Vogues of 1938","nm0114095","Lew Brown",NA,NA,"Music",NA,5.9,319
"Best Music, Score","Winner","10-1938","tt0029347","One Hundred Men and a Girl","nm0006239","Charles Previn",NA,NA,"Music",NA,6.7,1206
"Best Music, Score",NA,"10-1938","tt0029047","In Old Chicago","nm0799007","Louis Silvers",NA,NA,"Music",NA,6.7,2611
"Best Music, Score",NA,"10-1938","tt0029162","Lost Horizon","nm0006304","Morris Stoloff",NA,NA,"Music",7,7.6,14346
"Best Music, Score",NA,"10-1938","tt0029193","Make a Wish","nm0006252","Hugo Riesenfeld",NA,NA,"Music",NA,5.4,207
"Best Music, Score",NA,"10-1938","tt0029222","Maytime","nm0278358","Nat W. Finston",NA,NA,"Music",NA,7.3,1176
"Best Music, Score",NA,"10-1938","tt0029433","Portia on Trial","nm0173027","Alberto Colombo",NA,NA,"Music",NA,5.8,83
"Best Music, Score",NA,"10-1938","tt0029454","Quality Street","nm0002202","Roy Webb",NA,NA,"Music",NA,6.2,1308
"Best Music, Score",NA,"10-1938","tt0029583","Snow White and the Seven Dwarfs","nm0161430","Frank Churchill",NA,NA,"Music",7,7.6,213826
"Best Music, Score",NA,"10-1938","tt0029583","Snow White and the Seven Dwarfs","nm0363316","Leigh Harline",NA,NA,"Music",7,7.6,213826
"Best Music, Score",NA,"10-1938","tt0029583","Snow White and the Seven Dwarfs","nm1345229","Paul J. Smith",NA,NA,"Music",7,7.6,213826
"Best Music, Score",NA,"10-1938","tt0029588","Something to Sing About","nm0005954","C. Bakaleinikoff",NA,NA,"Music",NA,6.2,1003
"Best Music, Score",NA,"10-1938","tt0029593","Souls at Sea","nm0607448","Boris Morros",NA,NA,"Music",NA,6.8,851
"Best Music, Score",NA,"10-1938","tt0029030","The Hurricane","nm0000055","Alfred Newman",NA,NA,"Music",NA,7.2,2966
"Best Music, Score",NA,"10-1938","tt0029146","The Life of Emile Zola","nm0006079","Leo F. Forbstein",NA,NA,"Music",NA,7.2,8926
"Best Music, Score",NA,"10-1938","tt0029442","The Prisoner of Zenda","nm0000055","Alfred Newman",NA,NA,"Music",NA,7.6,5028
"Best Music, Score",NA,"10-1938","tt0029747","Way Out West","nm0368943","Marvin Hatley",NA,NA,"Music",NA,7.6,8930
"Best Picture","Winner","10-1938","tt0029146","The Life of Emile Zola",NA,NA,NA,NA,"Picture",NA,7.2,8926
"Best Picture",NA,"10-1938","tt0029606","A Star Is Born",NA,NA,NA,NA,"Picture",7,7.3,10744
